species_a	protein_a	species_b	protein_b	n_compared_columns	n_identical	percent_identity
felis_catus	XP_044896695.1	oryzias_latipes	XP_078787744.1	829	644	77.68
felis_catus	XP_044896695.1	ovis_aries	XP_060260490.1	839	812	96.78
felis_catus	XP_044896695.1	pan_troglodytes	XP_054516514.1	839	813	96.9
felis_catus	XP_044896695.1	pongo_abelii	XP_024108704.1	837	811	96.89
felis_catus	XP_044896695.1	rattus_norvegicus	XP_063137149.1	839	802	95.59
felis_catus	XP_044896695.1	sus_scrofa	XP_084849197.1	839	812	96.78
felis_catus	XP_044896695.1	taeniopygia_guttata	XP_072787409.1	839	766	91.3
felis_catus	XP_044896695.1	takifugu_rubripes	ENSTRUP00000045145	832	646	77.64
felis_catus	XP_044896695.1	xenopus_tropicalis	ENSXETP00000069725	831	647	77.86
gallus_gallus	NP_990650.2	gallus_gallus	NP_990650.2	842	842	100.0
gallus_gallus	NP_990650.2	gasterosteus_aculeatus	ENSGACP00000061458	804	600	74.63
gallus_gallus	NP_990650.2	gorilla_gorilla_gorilla	XP_004050253.1	723	686	94.88
gallus_gallus	NP_990650.2	homo_sapiens	ENSP00000351276	820	763	93.05
gallus_gallus	NP_990650.2	macaca_mulatta	XP_077803775.1	837	774	92.47
gallus_gallus	NP_990650.2	meleagris_gallopavo	ENSMGAP00000031571	627	531	84.69
gallus_gallus	NP_990650.2	monodelphis_domestica	XP_056659242.1	839	784	93.44
gallus_gallus	NP_990650.2	mus_musculus	ENSMUSP00000112430	839	767	91.42
gallus_gallus	NP_990650.2	oreochromis_niloticus	ENSONIP00000063320	804	636	79.1
gallus_gallus	NP_990650.2	ornithorhynchus_anatinus	XP_028936644.1	839	776	92.49
gallus_gallus	NP_990650.2	oryctolagus_cuniculus	XP_069913096.1	839	765	91.18
gallus_gallus	NP_990650.2	oryzias_latipes	XP_078787744.1	828	645	77.9
gallus_gallus	NP_990650.2	ovis_aries	XP_060260490.1	839	769	91.66
gallus_gallus	NP_990650.2	pan_troglodytes	XP_054516514.1	839	776	92.49
gallus_gallus	NP_990650.2	pongo_abelii	XP_024108704.1	837	774	92.47
gallus_gallus	NP_990650.2	rattus_norvegicus	XP_063137149.1	839	769	91.66
gallus_gallus	NP_990650.2	sus_scrofa	XP_084849197.1	839	768	91.54
gallus_gallus	NP_990650.2	taeniopygia_guttata	XP_072787409.1	842	825	97.98
gallus_gallus	NP_990650.2	takifugu_rubripes	ENSTRUP00000045145	831	651	78.34
gallus_gallus	NP_990650.2	xenopus_tropicalis	ENSXETP00000069725	832	644	77.4
gasterosteus_aculeatus	ENSGACP00000061458	gasterosteus_aculeatus	ENSGACP00000061458	917	917	100.0
gasterosteus_aculeatus	ENSGACP00000061458	gorilla_gorilla_gorilla	XP_004050253.1	693	540	77.92
gasterosteus_aculeatus	ENSGACP00000061458	homo_sapiens	ENSP00000351276	785	588	74.9
gasterosteus_aculeatus	ENSGACP00000061458	macaca_mulatta	XP_077803775.1	804	594	73.88
gasterosteus_aculeatus	ENSGACP00000061458	meleagris_gallopavo	ENSMGAP00000031571	605	431	71.24
gasterosteus_aculeatus	ENSGACP00000061458	monodelphis_domestica	XP_056659242.1	804	595	74.0
gasterosteus_aculeatus	ENSGACP00000061458	mus_musculus	ENSMUSP00000112430	804	597	74.25
gasterosteus_aculeatus	ENSGACP00000061458	oreochromis_niloticus	ENSONIP00000063320	779	675	86.65
gasterosteus_aculeatus	ENSGACP00000061458	ornithorhynchus_anatinus	XP_028936644.1	804	591	73.51
gasterosteus_aculeatus	ENSGACP00000061458	oryctolagus_cuniculus	XP_069913096.1	804	597	74.25
gasterosteus_aculeatus	ENSGACP00000061458	oryzias_latipes	XP_078787744.1	805	697	86.58
gasterosteus_aculeatus	ENSGACP00000061458	ovis_aries	XP_060260490.1	804	593	73.76
gasterosteus_aculeatus	ENSGACP00000061458	pan_troglodytes	XP_054516514.1	804	594	73.88
gasterosteus_aculeatus	ENSGACP00000061458	pongo_abelii	XP_024108704.1	804	594	73.88
gasterosteus_aculeatus	ENSGACP00000061458	rattus_norvegicus	XP_063137149.1	804	595	74.0
gasterosteus_aculeatus	ENSGACP00000061458	sus_scrofa	XP_084849197.1	804	591	73.51
gasterosteus_aculeatus	ENSGACP00000061458	taeniopygia_guttata	XP_072787409.1	804	605	75.25
gasterosteus_aculeatus	ENSGACP00000061458	takifugu_rubripes	ENSTRUP00000045145	809	707	87.39
gasterosteus_aculeatus	ENSGACP00000061458	xenopus_tropicalis	ENSXETP00000069725	799	560	70.09
gorilla_gorilla_gorilla	XP_004050253.1	gorilla_gorilla_gorilla	XP_004050253.1	723	723	100.0
gorilla_gorilla_gorilla	XP_004050253.1	homo_sapiens	ENSP00000351276	704	702	99.72
gorilla_gorilla_gorilla	XP_004050253.1	macaca_mulatta	XP_077803775.1	723	722	99.86
gorilla_gorilla_gorilla	XP_004050253.1	meleagris_gallopavo	ENSMGAP00000031571	569	504	88.58
gorilla_gorilla_gorilla	XP_004050253.1	monodelphis_domestica	XP_056659242.1	723	696	96.27
gorilla_gorilla_gorilla	XP_004050253.1	mus_musculus	ENSMUSP00000112430	723	714	98.76
