case_id	case_type	comparable_boundary_group_id	summary
single_species_observation:CBG51	single_species_observation	CBG51	Observation missing in at least one species
single_species_observation:CBG52	single_species_observation	CBG52	Observation missing in at least one species
tentative_mapping:CBG62	tentative_mapping	CBG62	Tentative alignment mapping
single_species_observation:CBG62	single_species_observation	CBG62	Observation missing in at least one species
tentative_mapping:CBG72	tentative_mapping	CBG72	Tentative alignment mapping
single_species_observation:CBG72	single_species_observation	CBG72	Observation missing in at least one species
different_boundary_classes:CBG74	different_boundary_classes	CBG74	Different boundary classes
single_species_observation:CBG74	single_species_observation	CBG74	Observation missing in at least one species
inconsistent_domain_instance:CBG74	inconsistent_domain_instance	CBG74	Boundary assigned to different domain families
single_species_observation:CBG75	single_species_observation	CBG75	Observation missing in at least one species
single_species_observation:CBG76	single_species_observation	CBG76	Observation missing in at least one species
single_species_observation:CBG77	single_species_observation	CBG77	Observation missing in at least one species
single_species_observation:CBG78	single_species_observation	CBG78	Observation missing in at least one species
single_species_observation:CBG79	single_species_observation	CBG79	Observation missing in at least one species
single_species_observation:CBG80	single_species_observation	CBG80	Observation missing in at least one species
single_species_observation:CBG81	single_species_observation	CBG81	Observation missing in at least one species
single_species_observation:CBG82	single_species_observation	CBG82	Observation missing in at least one species
tentative_mapping:CBG84	tentative_mapping	CBG84	Tentative alignment mapping
single_species_observation:CBG84	single_species_observation	CBG84	Observation missing in at least one species
inconsistent_domain_instance:CBG84	inconsistent_domain_instance	CBG84	Boundary assigned to different domain families
large_distance_difference:CBG91	large_distance_difference	CBG91	Large cross-species distance difference
tentative_mapping:CBG91	tentative_mapping	CBG91	Tentative alignment mapping
single_species_observation:CBG91	single_species_observation	CBG91	Observation missing in at least one species
tentative_mapping:CBG97	tentative_mapping	CBG97	Tentative alignment mapping
single_species_observation:CBG97	single_species_observation	CBG97	Observation missing in at least one species
inconsistent_domain_instance:CBG97	inconsistent_domain_instance	CBG97	Boundary assigned to different domain families
tentative_mapping:CBG101	tentative_mapping	CBG101	Tentative alignment mapping
single_species_observation:CBG101	single_species_observation	CBG101	Observation missing in at least one species
tentative_mapping:CBG102	tentative_mapping	CBG102	Tentative alignment mapping
single_species_observation:CBG102	single_species_observation	CBG102	Observation missing in at least one species
inconsistent_domain_instance:CBG102	inconsistent_domain_instance	CBG102	Boundary assigned to different domain families
tentative_mapping:CBG105	tentative_mapping	CBG105	Tentative alignment mapping
single_species_observation:CBG105	single_species_observation	CBG105	Observation missing in at least one species
tentative_mapping:CBG107	tentative_mapping	CBG107	Tentative alignment mapping
single_species_observation:CBG107	single_species_observation	CBG107	Observation missing in at least one species
tentative_mapping:CBG109	tentative_mapping	CBG109	Tentative alignment mapping
single_species_observation:CBG109	single_species_observation	CBG109	Observation missing in at least one species
different_boundary_classes:CBG113	different_boundary_classes	CBG113	Different boundary classes
tentative_mapping:CBG113	tentative_mapping	CBG113	Tentative alignment mapping
single_species_observation:CBG113	single_species_observation	CBG113	Observation missing in at least one species
tentative_mapping:CBG123	tentative_mapping	CBG123	Tentative alignment mapping
single_species_observation:CBG123	single_species_observation	CBG123	Observation missing in at least one species
