species_id	scientific_name	model_id	protein_id	transcript_id	isoform_label	model_role	is_primary_reference	availability_status	reconstruction_status	review_status	omission_reason
canis_lupus_familiaris	Canis lupus familiaris	fgfr2:canis_lupus_familiaris:IIIb	NP_001003336.1	NP_001003336.1	IIIb	validated_isoform_IIIb	true	cassette_only_no_exon_series	cassette_only_high_confidence	no_review_flag	no coding-exon series in the validated architecture; the cassette coordinate was validated separately
canis_lupus_familiaris	Canis lupus familiaris		ENSCAFP00845027252		IIIc		false	no_architecture_model		supplement_review_only	no source-compatible validated candidate; sequence support only
felis_catus	Felis catus	fgfr2:felis_catus:IIIb	XP_044896694.1	XM_045040759.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
felis_catus	Felis catus	fgfr2:felis_catus:IIIc	XP_044896695.1	XM_045040760.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
bos_taurus	Bos taurus	fgfr2:bos_taurus:IIIb	XP_059737723.1	XM_059881740.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
bos_taurus	Bos taurus	fgfr2:bos_taurus:IIIc	XP_059737724.1	XM_059881741.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
sus_scrofa	Sus scrofa	fgfr2:sus_scrofa:IIIb	XP_084849194.1	XM_084993068.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
sus_scrofa	Sus scrofa	fgfr2:sus_scrofa:IIIc	XP_084849197.1	XM_084993071.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
equus_caballus	Equus caballus	fgfr2:equus_caballus:IIIb	XP_014588429.1	XM_014732943.3	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
equus_caballus	Equus caballus	fgfr2:equus_caballus:IIIc	XP_014588430.1	XM_014732944.3	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
ovis_aries	Ovis aries	fgfr2:ovis_aries:IIIb	XP_060260488.1	XM_060404505.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
ovis_aries	Ovis aries	fgfr2:ovis_aries:IIIc	XP_060260490.1	XM_060404507.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
monodelphis_domestica	Monodelphis domestica	fgfr2:monodelphis_domestica:IIIb	XP_056659239.1	XM_056803261.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
monodelphis_domestica	Monodelphis domestica	fgfr2:monodelphis_domestica:IIIc	XP_056659242.1	XM_056803264.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
ornithorhynchus_anatinus	Ornithorhynchus anatinus	fgfr2:ornithorhynchus_anatinus:IIIb	XP_028936643.1	XM_029080810.2	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
ornithorhynchus_anatinus	Ornithorhynchus anatinus	fgfr2:ornithorhynchus_anatinus:IIIc	XP_028936644.1	XM_029080811.2	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
gallus_gallus	Gallus gallus	fgfr2:gallus_gallus:IIIb	XP_046798696.1	XM_046942740.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
gallus_gallus	Gallus gallus	fgfr2:gallus_gallus:IIIc	NP_990650.2	NM_205319.4	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
meleagris_gallopavo	Meleagris gallopavo	fgfr2:meleagris_gallopavo:IIIb	ENSMGAP00000031353	ENSMGAT00000037037	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
meleagris_gallopavo	Meleagris gallopavo	fgfr2:meleagris_gallopavo:IIIc	ENSMGAP00000031571	ENSMGAT00000021846	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
taeniopygia_guttata	Taeniopygia guttata	fgfr2:taeniopygia_guttata:IIIb	XP_072787408.1	XM_072931307.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
taeniopygia_guttata	Taeniopygia guttata	fgfr2:taeniopygia_guttata:IIIc	XP_072787409.1	XM_072931308.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
anolis_carolinensis	Anolis carolinensis	fgfr2:anolis_carolinensis:IIIb	XP_062832082.1	XM_062976012.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
anolis_carolinensis	Anolis carolinensis	fgfr2:anolis_carolinensis:IIIc	XP_062832081.1	XM_062976011.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
alligator_mississippiensis	Alligator mississippiensis	fgfr2:alligator_mississippiensis:IIIb	XP_059586053.1	XM_059730070.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
alligator_mississippiensis	Alligator mississippiensis	fgfr2:alligator_mississippiensis:IIIc	XP_006266188.1	XM_006266126.4	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
chrysemys_picta_bellii	Chrysemys picta bellii	fgfr2:chrysemys_picta_bellii:IIIb	XP_023965681.1	XM_024109913.3	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
chrysemys_picta_bellii	Chrysemys picta bellii	fgfr2:chrysemys_picta_bellii:IIIc	XP_065408413.1	XM_065552341.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
xenopus_tropicalis	Xenopus tropicalis	fgfr2:xenopus_tropicalis:IIIb	ENSXETP00000087394	ENSXETT00000078335	IIIb	validated_isoform_IIIb	false	model_available	native_exon_blocks_reconstructed	flagged_for_review: coordinate_validation_status=major_native_offset_review; protein_integrity_status=protein_length_outlier_review	
xenopus_tropicalis	Xenopus tropicalis	fgfr2:xenopus_tropicalis:IIIc	ENSXETP00000069725	ENSXETT00000071733	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=major_native_offset_review	
ambystoma_mexicanum	Ambystoma mexicanum	fgfr2:ambystoma_mexicanum:IIIb	XP_069468054.1	XM_069611953.1	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
ambystoma_mexicanum	Ambystoma mexicanum	fgfr2:ambystoma_mexicanum:IIIc	XP_069468056.1	XM_069611955.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
danio_rerio	Danio rerio	fgfr2:danio_rerio:IIIb	XP_068081039.1	XM_068224938.2	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
danio_rerio	Danio rerio	fgfr2:danio_rerio:IIIc	XP_068081038.1	XM_068224937.2	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
oryzias_latipes	Oryzias latipes	fgfr2:oryzias_latipes:IIIb	XP_011483055.1	XM_011484753.4	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	no_review_flag	
oryzias_latipes	Oryzias latipes	fgfr2:oryzias_latipes:IIIc	XP_078787744.1	XM_078931618.1	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	no_review_flag	
gasterosteus_aculeatus	Gasterosteus aculeatus	fgfr2:gasterosteus_aculeatus:IIIb	ENSGACP00000047216	ENSGACT00000078064	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=major_native_offset_review; protein_integrity_status=protein_length_outlier_review	
gasterosteus_aculeatus	Gasterosteus aculeatus	fgfr2:gasterosteus_aculeatus:IIIc	ENSGACP00000061458	ENSGACT00000067656	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=major_native_offset_review; protein_integrity_status=protein_length_outlier_review	
takifugu_rubripes	Takifugu rubripes	fgfr2:takifugu_rubripes:IIIb	ENSTRUP00000045146	ENSTRUT00000045298	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
takifugu_rubripes	Takifugu rubripes	fgfr2:takifugu_rubripes:IIIc	ENSTRUP00000045145	ENSTRUT00000045297	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
oreochromis_niloticus	Oreochromis niloticus	fgfr2:oreochromis_niloticus:IIIb	ENSONIP00000060910	ENSONIT00000055812	IIIb	validated_isoform_IIIb	false	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
oreochromis_niloticus	Oreochromis niloticus	fgfr2:oreochromis_niloticus:IIIc	ENSONIP00000063320	ENSONIT00000047381	IIIc	validated_isoform_IIIc	true	model_available	coordinate_mapped	flagged_for_review: coordinate_validation_status=moderate_native_offset_review	
