species	isoform	member_database	signed_offset	n_signature_calls	abs_offset	protein_key
danio_rerio	IIIb	Gene3D	4.0	1	4.0	danio_rerio|IIIb
danio_rerio	IIIb	Pfam	-2.0	1	2.0	danio_rerio|IIIb
danio_rerio	IIIb	ProSiteProfiles	-15.0	1	15.0	danio_rerio|IIIb
danio_rerio	IIIb	SMART	-6.5	2	6.5	danio_rerio|IIIb
danio_rerio	IIIb	SUPERFAMILY	-2.0	1	2.0	danio_rerio|IIIb
danio_rerio	IIIc	Gene3D	4.0	1	4.0	danio_rerio|IIIc
danio_rerio	IIIc	Pfam	-2.0	1	2.0	danio_rerio|IIIc
danio_rerio	IIIc	ProSiteProfiles	-3.0	1	3.0	danio_rerio|IIIc
danio_rerio	IIIc	SMART	-6.5	2	6.5	danio_rerio|IIIc
danio_rerio	IIIc	SUPERFAMILY	-2.0	1	2.0	danio_rerio|IIIc
equus_caballus	IIIb	Gene3D	5.0	1	5.0	equus_caballus|IIIb
equus_caballus	IIIb	Pfam	-2.0	1	2.0	equus_caballus|IIIb
equus_caballus	IIIb	ProSiteProfiles	-3.0	1	3.0	equus_caballus|IIIb
equus_caballus	IIIb	SMART	-6.5	2	6.5	equus_caballus|IIIb
equus_caballus	IIIb	SUPERFAMILY	-2.0	1	2.0	equus_caballus|IIIb
equus_caballus	IIIc	Gene3D	2.0	1	2.0	equus_caballus|IIIc
equus_caballus	IIIc	Pfam	-15.0	1	15.0	equus_caballus|IIIc
equus_caballus	IIIc	ProSiteProfiles	-3.0	1	3.0	equus_caballus|IIIc
equus_caballus	IIIc	SMART	-6.5	2	6.5	equus_caballus|IIIc
equus_caballus	IIIc	SUPERFAMILY	-2.0	1	2.0	equus_caballus|IIIc
felis_catus	IIIb	Gene3D	5.0	1	5.0	felis_catus|IIIb
felis_catus	IIIb	Pfam	-2.0	1	2.0	felis_catus|IIIb
felis_catus	IIIb	ProSiteProfiles	-3.0	1	3.0	felis_catus|IIIb
felis_catus	IIIb	SMART	-6.5	2	6.5	felis_catus|IIIb
felis_catus	IIIb	SUPERFAMILY	-2.0	1	2.0	felis_catus|IIIb
felis_catus	IIIc	Gene3D	2.0	1	2.0	felis_catus|IIIc
felis_catus	IIIc	Pfam	-15.0	1	15.0	felis_catus|IIIc
felis_catus	IIIc	ProSiteProfiles	-3.0	1	3.0	felis_catus|IIIc
felis_catus	IIIc	SMART	-6.5	2	6.5	felis_catus|IIIc
felis_catus	IIIc	SUPERFAMILY	-2.0	1	2.0	felis_catus|IIIc
gallus_gallus	IIIb	Gene3D	2.0	1	2.0	gallus_gallus|IIIb
gallus_gallus	IIIb	Pfam	-2.0	1	2.0	gallus_gallus|IIIb
gallus_gallus	IIIb	ProSiteProfiles	-3.0	1	3.0	gallus_gallus|IIIb
gallus_gallus	IIIb	SMART	-6.5	2	6.5	gallus_gallus|IIIb
gallus_gallus	IIIb	SUPERFAMILY	-2.0	1	2.0	gallus_gallus|IIIb
gallus_gallus	IIIc	Gene3D	4.0	1	4.0	gallus_gallus|IIIc
gallus_gallus	IIIc	Pfam	-15.0	1	15.0	gallus_gallus|IIIc
gallus_gallus	IIIc	ProSiteProfiles	-3.0	1	3.0	gallus_gallus|IIIc
gallus_gallus	IIIc	SMART	-6.5	2	6.5	gallus_gallus|IIIc
gallus_gallus	IIIc	SUPERFAMILY	-2.0	1	2.0	gallus_gallus|IIIc
gasterosteus_aculeatus	IIIb	Gene3D	5.0	1	5.0	gasterosteus_aculeatus|IIIb
gasterosteus_aculeatus	IIIb	Pfam	-2.0	1	2.0	gasterosteus_aculeatus|IIIb
gasterosteus_aculeatus	IIIb	ProSiteProfiles	-15.0	1	15.0	gasterosteus_aculeatus|IIIb
gasterosteus_aculeatus	IIIb	SMART	-6.5	2	6.5	gasterosteus_aculeatus|IIIb
gasterosteus_aculeatus	IIIb	SUPERFAMILY	-2.0	1	2.0	gasterosteus_aculeatus|IIIb
gasterosteus_aculeatus	IIIc	Gene3D	4.0	1	4.0	gasterosteus_aculeatus|IIIc
gasterosteus_aculeatus	IIIc	Pfam	-2.0	1	2.0	gasterosteus_aculeatus|IIIc
gasterosteus_aculeatus	IIIc	ProSiteProfiles	-3.0	1	3.0	gasterosteus_aculeatus|IIIc
gasterosteus_aculeatus	IIIc	SMART	-6.5	2	6.5	gasterosteus_aculeatus|IIIc
gasterosteus_aculeatus	IIIc	SUPERFAMILY	-2.0	1	2.0	gasterosteus_aculeatus|IIIc
gorilla_gorilla_gorilla	IIIb	Gene3D	4.0	1	4.0	gorilla_gorilla_gorilla|IIIb
gorilla_gorilla_gorilla	IIIb	Pfam	-2.0	1	2.0	gorilla_gorilla_gorilla|IIIb
gorilla_gorilla_gorilla	IIIb	ProSiteProfiles	-3.0	1	3.0	gorilla_gorilla_gorilla|IIIb
gorilla_gorilla_gorilla	IIIb	SMART	-6.5	2	6.5	gorilla_gorilla_gorilla|IIIb
gorilla_gorilla_gorilla	IIIb	SUPERFAMILY	-2.0	1	2.0	gorilla_gorilla_gorilla|IIIb
gorilla_gorilla_gorilla	IIIc	Gene3D	1.0	1	1.0	gorilla_gorilla_gorilla|IIIc
gorilla_gorilla_gorilla	IIIc	Pfam	-15.0	1	15.0	gorilla_gorilla_gorilla|IIIc
gorilla_gorilla_gorilla	IIIc	ProSiteProfiles	-3.0	1	3.0	gorilla_gorilla_gorilla|IIIc
gorilla_gorilla_gorilla	IIIc	SMART	-6.5	2	6.5	gorilla_gorilla_gorilla|IIIc
gorilla_gorilla_gorilla	IIIc	SUPERFAMILY	-2.0	1	2.0	gorilla_gorilla_gorilla|IIIc
homo_sapiens	IIIb	Gene3D	4.0	1	4.0	homo_sapiens|IIIb
homo_sapiens	IIIb	Pfam	-2.0	1	2.0	homo_sapiens|IIIb
homo_sapiens	IIIb	ProSiteProfiles	-3.0	1	3.0	homo_sapiens|IIIb
homo_sapiens	IIIb	SMART	-6.5	2	6.5	homo_sapiens|IIIb
homo_sapiens	IIIb	SUPERFAMILY	-2.0	1	2.0	homo_sapiens|IIIb
homo_sapiens	IIIc	Gene3D	1.0	1	1.0	homo_sapiens|IIIc
homo_sapiens	IIIc	Pfam	-15.0	1	15.0	homo_sapiens|IIIc
homo_sapiens	IIIc	ProSiteProfiles	-3.0	1	3.0	homo_sapiens|IIIc
homo_sapiens	IIIc	SMART	-6.5	2	6.5	homo_sapiens|IIIc
homo_sapiens	IIIc	SUPERFAMILY	-2.0	1	2.0	homo_sapiens|IIIc
macaca_mulatta	IIIb	Gene3D	4.0	1	4.0	macaca_mulatta|IIIb
macaca_mulatta	IIIb	Pfam	-2.0	1	2.0	macaca_mulatta|IIIb
macaca_mulatta	IIIb	ProSiteProfiles	-3.0	1	3.0	macaca_mulatta|IIIb
macaca_mulatta	IIIb	SMART	-6.5	2	6.5	macaca_mulatta|IIIb
macaca_mulatta	IIIb	SUPERFAMILY	-2.0	1	2.0	macaca_mulatta|IIIb
macaca_mulatta	IIIc	Gene3D	1.0	1	1.0	macaca_mulatta|IIIc
macaca_mulatta	IIIc	Pfam	-15.0	1	15.0	macaca_mulatta|IIIc
macaca_mulatta	IIIc	ProSiteProfiles	-3.0	1	3.0	macaca_mulatta|IIIc
macaca_mulatta	IIIc	SMART	-6.5	2	6.5	macaca_mulatta|IIIc
macaca_mulatta	IIIc	SUPERFAMILY	-2.0	1	2.0	macaca_mulatta|IIIc
meleagris_gallopavo	IIIb	Gene3D	1.0	1	1.0	meleagris_gallopavo|IIIb
meleagris_gallopavo	IIIb	Pfam	-2.0	1	2.0	meleagris_gallopavo|IIIb
meleagris_gallopavo	IIIb	ProSiteProfiles	-3.0	1	3.0	meleagris_gallopavo|IIIb
meleagris_gallopavo	IIIb	SMART	-6.5	2	6.5	meleagris_gallopavo|IIIb
meleagris_gallopavo	IIIb	SUPERFAMILY	-2.0	1	2.0	meleagris_gallopavo|IIIb
meleagris_gallopavo	IIIc	Gene3D	4.0	1	4.0	meleagris_gallopavo|IIIc
meleagris_gallopavo	IIIc	Pfam	-15.0	1	15.0	meleagris_gallopavo|IIIc
meleagris_gallopavo	IIIc	ProSiteProfiles	-3.0	1	3.0	meleagris_gallopavo|IIIc
meleagris_gallopavo	IIIc	SMART	-6.5	2	6.5	meleagris_gallopavo|IIIc
meleagris_gallopavo	IIIc	SUPERFAMILY	-2.0	1	2.0	meleagris_gallopavo|IIIc
monodelphis_domestica	IIIb	Gene3D	4.0	1	4.0	monodelphis_domestica|IIIb
monodelphis_domestica	IIIb	Pfam	-2.0	1	2.0	monodelphis_domestica|IIIb
monodelphis_domestica	IIIb	ProSiteProfiles	-3.0	1	3.0	monodelphis_domestica|IIIb
monodelphis_domestica	IIIb	SMART	-6.5	2	6.5	monodelphis_domestica|IIIb
monodelphis_domestica	IIIb	SUPERFAMILY	-2.0	1	2.0	monodelphis_domestica|IIIb
monodelphis_domestica	IIIc	Gene3D	1.0	1	1.0	monodelphis_domestica|IIIc
monodelphis_domestica	IIIc	Pfam	-15.0	1	15.0	monodelphis_domestica|IIIc
monodelphis_domestica	IIIc	ProSiteProfiles	-3.0	1	3.0	monodelphis_domestica|IIIc
monodelphis_domestica	IIIc	SMART	-6.5	2	6.5	monodelphis_domestica|IIIc
monodelphis_domestica	IIIc	SUPERFAMILY	-2.0	1	2.0	monodelphis_domestica|IIIc
mus_musculus	IIIb	Gene3D	5.0	1	5.0	mus_musculus|IIIb
mus_musculus	IIIb	Pfam	-2.0	1	2.0	mus_musculus|IIIb
mus_musculus	IIIb	ProSiteProfiles	-3.0	1	3.0	mus_musculus|IIIb
mus_musculus	IIIb	SMART	-6.5	2	6.5	mus_musculus|IIIb
mus_musculus	IIIb	SUPERFAMILY	-2.0	1	2.0	mus_musculus|IIIb
mus_musculus	IIIc	Gene3D	2.0	1	2.0	mus_musculus|IIIc
mus_musculus	IIIc	Pfam	-15.0	1	15.0	mus_musculus|IIIc
mus_musculus	IIIc	ProSiteProfiles	-3.0	1	3.0	mus_musculus|IIIc
mus_musculus	IIIc	SMART	-6.5	2	6.5	mus_musculus|IIIc
mus_musculus	IIIc	SUPERFAMILY	-2.0	1	2.0	mus_musculus|IIIc
oreochromis_niloticus	IIIb	Gene3D	4.0	1	4.0	oreochromis_niloticus|IIIb
oreochromis_niloticus	IIIb	Pfam	-1.0	1	1.0	oreochromis_niloticus|IIIb
oreochromis_niloticus	IIIb	ProSiteProfiles	-2.0	1	2.0	oreochromis_niloticus|IIIb
oreochromis_niloticus	IIIb	SMART	-5.5	2	5.5	oreochromis_niloticus|IIIb
oreochromis_niloticus	IIIb	SUPERFAMILY	-1.0	1	1.0	oreochromis_niloticus|IIIb
oreochromis_niloticus	IIIc	Gene3D	4.0	1	4.0	oreochromis_niloticus|IIIc
oreochromis_niloticus	IIIc	Pfam	-2.0	1	2.0	oreochromis_niloticus|IIIc
oreochromis_niloticus	IIIc	ProSiteProfiles	-3.0	1	3.0	oreochromis_niloticus|IIIc
oreochromis_niloticus	IIIc	SMART	-6.5	2	6.5	oreochromis_niloticus|IIIc
oreochromis_niloticus	IIIc	SUPERFAMILY	-2.0	1	2.0	oreochromis_niloticus|IIIc
ornithorhynchus_anatinus	IIIb	Gene3D	4.0	1	4.0	ornithorhynchus_anatinus|IIIb
ornithorhynchus_anatinus	IIIb	Pfam	-2.0	1	2.0	ornithorhynchus_anatinus|IIIb
ornithorhynchus_anatinus	IIIb	ProSiteProfiles	-3.0	1	3.0	ornithorhynchus_anatinus|IIIb
ornithorhynchus_anatinus	IIIb	SMART	-6.5	2	6.5	ornithorhynchus_anatinus|IIIb
ornithorhynchus_anatinus	IIIb	SUPERFAMILY	-2.0	1	2.0	ornithorhynchus_anatinus|IIIb
ornithorhynchus_anatinus	IIIc	Gene3D	2.0	1	2.0	ornithorhynchus_anatinus|IIIc
ornithorhynchus_anatinus	IIIc	Pfam	-15.0	1	15.0	ornithorhynchus_anatinus|IIIc
ornithorhynchus_anatinus	IIIc	ProSiteProfiles	-3.0	1	3.0	ornithorhynchus_anatinus|IIIc
ornithorhynchus_anatinus	IIIc	SMART	-6.5	2	6.5	ornithorhynchus_anatinus|IIIc
ornithorhynchus_anatinus	IIIc	SUPERFAMILY	-2.0	1	2.0	ornithorhynchus_anatinus|IIIc
oryctolagus_cuniculus	IIIb	Gene3D	5.0	1	5.0	oryctolagus_cuniculus|IIIb
oryctolagus_cuniculus	IIIb	Pfam	-2.0	1	2.0	oryctolagus_cuniculus|IIIb
oryctolagus_cuniculus	IIIb	ProSiteProfiles	-3.0	1	3.0	oryctolagus_cuniculus|IIIb
oryctolagus_cuniculus	IIIb	SMART	-6.5	2	6.5	oryctolagus_cuniculus|IIIb
oryctolagus_cuniculus	IIIb	SUPERFAMILY	-2.0	1	2.0	oryctolagus_cuniculus|IIIb
oryctolagus_cuniculus	IIIc	Gene3D	2.0	1	2.0	oryctolagus_cuniculus|IIIc
oryctolagus_cuniculus	IIIc	Pfam	-15.0	1	15.0	oryctolagus_cuniculus|IIIc
oryctolagus_cuniculus	IIIc	ProSiteProfiles	-3.0	1	3.0	oryctolagus_cuniculus|IIIc
oryctolagus_cuniculus	IIIc	SMART	-6.5	2	6.5	oryctolagus_cuniculus|IIIc
oryctolagus_cuniculus	IIIc	SUPERFAMILY	-2.0	1	2.0	oryctolagus_cuniculus|IIIc
oryzias_latipes	IIIb	Gene3D	4.0	1	4.0	oryzias_latipes|IIIb
oryzias_latipes	IIIb	Pfam	-2.0	1	2.0	oryzias_latipes|IIIb
oryzias_latipes	IIIb	ProSiteProfiles	-3.0	1	3.0	oryzias_latipes|IIIb
oryzias_latipes	IIIb	SMART	-6.5	2	6.5	oryzias_latipes|IIIb
oryzias_latipes	IIIb	SUPERFAMILY	-2.0	1	2.0	oryzias_latipes|IIIb
oryzias_latipes	IIIc	Gene3D	4.0	1	4.0	oryzias_latipes|IIIc
oryzias_latipes	IIIc	Pfam	-2.0	1	2.0	oryzias_latipes|IIIc
oryzias_latipes	IIIc	ProSiteProfiles	-3.0	1	3.0	oryzias_latipes|IIIc
oryzias_latipes	IIIc	SMART	-6.5	2	6.5	oryzias_latipes|IIIc
oryzias_latipes	IIIc	SUPERFAMILY	-2.0	1	2.0	oryzias_latipes|IIIc
ovis_aries	IIIb	Gene3D	5.0	1	5.0	ovis_aries|IIIb
ovis_aries	IIIb	Pfam	-2.0	1	2.0	ovis_aries|IIIb
ovis_aries	IIIb	ProSiteProfiles	-3.0	1	3.0	ovis_aries|IIIb
ovis_aries	IIIb	SMART	-6.5	2	6.5	ovis_aries|IIIb
ovis_aries	IIIb	SUPERFAMILY	-2.0	1	2.0	ovis_aries|IIIb
ovis_aries	IIIc	Gene3D	1.0	1	1.0	ovis_aries|IIIc
ovis_aries	IIIc	Pfam	-15.0	1	15.0	ovis_aries|IIIc
ovis_aries	IIIc	ProSiteProfiles	-3.0	1	3.0	ovis_aries|IIIc
ovis_aries	IIIc	SMART	-6.5	2	6.5	ovis_aries|IIIc
ovis_aries	IIIc	SUPERFAMILY	-2.0	1	2.0	ovis_aries|IIIc
pan_troglodytes	IIIb	Gene3D	4.0	1	4.0	pan_troglodytes|IIIb
pan_troglodytes	IIIb	Pfam	-2.0	1	2.0	pan_troglodytes|IIIb
pan_troglodytes	IIIb	ProSiteProfiles	-3.0	1	3.0	pan_troglodytes|IIIb
pan_troglodytes	IIIb	SMART	-6.5	2	6.5	pan_troglodytes|IIIb
pan_troglodytes	IIIb	SUPERFAMILY	-2.0	1	2.0	pan_troglodytes|IIIb
pan_troglodytes	IIIc	Gene3D	1.0	1	1.0	pan_troglodytes|IIIc
pan_troglodytes	IIIc	Pfam	-15.0	1	15.0	pan_troglodytes|IIIc
pan_troglodytes	IIIc	ProSiteProfiles	-3.0	1	3.0	pan_troglodytes|IIIc
pan_troglodytes	IIIc	SMART	-6.5	2	6.5	pan_troglodytes|IIIc
pan_troglodytes	IIIc	SUPERFAMILY	-2.0	1	2.0	pan_troglodytes|IIIc
pongo_abelii	IIIc	Gene3D	1.0	1	1.0	pongo_abelii|IIIc
pongo_abelii	IIIc	Pfam	-15.0	1	15.0	pongo_abelii|IIIc
pongo_abelii	IIIc	ProSiteProfiles	-3.0	1	3.0	pongo_abelii|IIIc
pongo_abelii	IIIc	SMART	-6.5	2	6.5	pongo_abelii|IIIc
pongo_abelii	IIIc	SUPERFAMILY	-2.0	1	2.0	pongo_abelii|IIIc
rattus_norvegicus	IIIb	Gene3D	5.0	1	5.0	rattus_norvegicus|IIIb
rattus_norvegicus	IIIb	Pfam	-2.0	1	2.0	rattus_norvegicus|IIIb
rattus_norvegicus	IIIb	ProSiteProfiles	-3.0	1	3.0	rattus_norvegicus|IIIb
rattus_norvegicus	IIIb	SMART	-6.5	2	6.5	rattus_norvegicus|IIIb
rattus_norvegicus	IIIb	SUPERFAMILY	-2.0	1	2.0	rattus_norvegicus|IIIb
rattus_norvegicus	IIIc	Gene3D	2.0	1	2.0	rattus_norvegicus|IIIc
rattus_norvegicus	IIIc	Pfam	-15.0	1	15.0	rattus_norvegicus|IIIc
rattus_norvegicus	IIIc	ProSiteProfiles	-3.0	1	3.0	rattus_norvegicus|IIIc
rattus_norvegicus	IIIc	SMART	-6.5	2	6.5	rattus_norvegicus|IIIc
rattus_norvegicus	IIIc	SUPERFAMILY	-2.0	1	2.0	rattus_norvegicus|IIIc
sus_scrofa	IIIb	Gene3D	5.0	1	5.0	sus_scrofa|IIIb
sus_scrofa	IIIb	Pfam	-2.0	1	2.0	sus_scrofa|IIIb
sus_scrofa	IIIb	ProSiteProfiles	-3.0	1	3.0	sus_scrofa|IIIb
sus_scrofa	IIIb	SMART	-6.5	2	6.5	sus_scrofa|IIIb
sus_scrofa	IIIb	SUPERFAMILY	-2.0	1	2.0	sus_scrofa|IIIb
sus_scrofa	IIIc	Gene3D	2.0	1	2.0	sus_scrofa|IIIc
sus_scrofa	IIIc	Pfam	-15.0	1	15.0	sus_scrofa|IIIc
sus_scrofa	IIIc	ProSiteProfiles	-3.0	1	3.0	sus_scrofa|IIIc
sus_scrofa	IIIc	SMART	-6.5	2	6.5	sus_scrofa|IIIc
sus_scrofa	IIIc	SUPERFAMILY	-2.0	1	2.0	sus_scrofa|IIIc
taeniopygia_guttata	IIIb	Gene3D	2.0	1	2.0	taeniopygia_guttata|IIIb
taeniopygia_guttata	IIIb	Pfam	-2.0	1	2.0	taeniopygia_guttata|IIIb
taeniopygia_guttata	IIIb	ProSiteProfiles	-3.0	1	3.0	taeniopygia_guttata|IIIb
taeniopygia_guttata	IIIb	SMART	-6.5	2	6.5	taeniopygia_guttata|IIIb
taeniopygia_guttata	IIIb	SUPERFAMILY	-2.0	1	2.0	taeniopygia_guttata|IIIb
taeniopygia_guttata	IIIc	Gene3D	4.0	1	4.0	taeniopygia_guttata|IIIc
taeniopygia_guttata	IIIc	Pfam	-15.0	1	15.0	taeniopygia_guttata|IIIc
taeniopygia_guttata	IIIc	ProSiteProfiles	-3.0	1	3.0	taeniopygia_guttata|IIIc
taeniopygia_guttata	IIIc	SMART	-6.5	2	6.5	taeniopygia_guttata|IIIc
taeniopygia_guttata	IIIc	SUPERFAMILY	-2.0	1	2.0	taeniopygia_guttata|IIIc
takifugu_rubripes	IIIb	Gene3D	4.0	1	4.0	takifugu_rubripes|IIIb
takifugu_rubripes	IIIb	Pfam	-2.0	1	2.0	takifugu_rubripes|IIIb
takifugu_rubripes	IIIb	ProSiteProfiles	-3.0	1	3.0	takifugu_rubripes|IIIb
takifugu_rubripes	IIIb	SMART	-6.5	2	6.5	takifugu_rubripes|IIIb
takifugu_rubripes	IIIb	SUPERFAMILY	-2.0	1	2.0	takifugu_rubripes|IIIb
takifugu_rubripes	IIIc	Gene3D	4.0	1	4.0	takifugu_rubripes|IIIc
takifugu_rubripes	IIIc	Pfam	-2.0	1	2.0	takifugu_rubripes|IIIc
takifugu_rubripes	IIIc	ProSiteProfiles	-3.0	1	3.0	takifugu_rubripes|IIIc
takifugu_rubripes	IIIc	SMART	-6.5	2	6.5	takifugu_rubripes|IIIc
takifugu_rubripes	IIIc	SUPERFAMILY	-2.0	1	2.0	takifugu_rubripes|IIIc
xenopus_tropicalis	IIIb	Gene3D	7.0	1	7.0	xenopus_tropicalis|IIIb
xenopus_tropicalis	IIIb	Pfam	0.0	1	0.0	xenopus_tropicalis|IIIb
xenopus_tropicalis	IIIb	ProSiteProfiles	-1.0	1	1.0	xenopus_tropicalis|IIIb
xenopus_tropicalis	IIIb	SMART	-4.5	2	4.5	xenopus_tropicalis|IIIb
xenopus_tropicalis	IIIb	SUPERFAMILY	0.0	1	0.0	xenopus_tropicalis|IIIb
xenopus_tropicalis	IIIc	Gene3D	2.0	1	2.0	xenopus_tropicalis|IIIc
xenopus_tropicalis	IIIc	Pfam	-2.0	1	2.0	xenopus_tropicalis|IIIc
xenopus_tropicalis	IIIc	ProSiteProfiles	-3.0	1	3.0	xenopus_tropicalis|IIIc
xenopus_tropicalis	IIIc	SMART	-6.5	2	6.5	xenopus_tropicalis|IIIc
xenopus_tropicalis	IIIc	SUPERFAMILY	-2.0	1	2.0	xenopus_tropicalis|IIIc
