species	isoform	transcript_id	protein_id	protein_length	feature_type	feature_label	start_aa	end_aa	track	source	status
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	transmembrane_pytmhmm	sig. anchor	20	39	domain	pyTMHMM	n_terminal_signal_anchor
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	kinase_domain	kinase	456	789	domain	interproscan	representative
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	other_domain	FGFR family fingerprint	27	834	domain	interproscan	family_level
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 1 (CDS1)	1	56	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 2 (CDS2)	56	145	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 3 (CDS3)	145	170	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 4 (CDS4)	170	226	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 5 (CDS5)	227	268	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 6 (CDS6)	268	331	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	IIIb_slot	exon 7 (IIIb cassette)	332	380	cassette	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 8 (CDS8)	380	447	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 9 (CDS9)	447	497	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 10 (CDS10)	497	538	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 11 (CDS11)	538	575	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 12 (CDS12)	575	638	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 13 (CDS13)	639	679	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 14 (CDS14)	680	703	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 15 (CDS15)	703	749	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 16 (CDS16)	749	784	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	coding_exon	exon 17 (CDS17)	785	839	exon	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	warning	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor)			warning	qc	architecture_supported
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	ig_like_domain	Ig1	58	144	domain	interproscan	representative
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	ig_like_domain	Ig2	189	266	domain	interproscan	representative
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	ig_like_domain	Ig3	281	377	domain	interproscan	representative
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	transmembrane_pytmhmm	TM	391	413	domain	pyTMHMM	receptor_tm
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	transmembrane_pytmhmm	sig. anchor	20	39	domain	pyTMHMM	n_terminal_signal_anchor
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	kinase_domain	kinase	454	787	domain	interproscan	representative
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	other_domain	FGFR family fingerprint	27	832	domain	interproscan	family_level
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 1 (CDS1)	1	56	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 2 (CDS2)	56	145	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 3 (CDS3)	145	170	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 4 (CDS4)	170	226	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 5 (CDS5)	227	268	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 6 (CDS6)	268	331	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	IIIc_slot	exon 7 (CDS7)	332	380	cassette	figure3C	coordinate_mapped
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 8 (CDS8)	380	447	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 9 (CDS9)	447	497	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 10 (CDS10)	497	538	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 11 (CDS11)	538	575	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 12 (CDS12)	575	638	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 13 (CDS13)	639	679	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 14 (CDS14)	680	703	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 15 (CDS15)	703	749	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 16 (CDS16)	749	784	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	coding_exon	exon 17 (CDS17)	785	838	exon	cds_features_native (XM_069611955.1)	native_reconstructed
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	warning	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor)			warning	qc	architecture_supported
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	warning	coding-exon blocks reconstructed from native CDS (display-coordinate sanitation)			warning	qc	architecture_supported
ambystoma_mexicanum	IIIc	XM_069611955.1	XP_069468056.1	838	warning	biology unchanged			warning	qc	architecture_supported
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	ig_like_domain	Ig1	102	166	domain	interproscan	representative
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	ig_like_domain	Ig2	223	300	domain	interproscan	representative
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	ig_like_domain	Ig3	315	396	domain	interproscan	representative
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	transmembrane_pytmhmm	TM	426	448	domain	pyTMHMM	receptor_tm
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	kinase_domain	kinase	489	822	domain	interproscan	representative
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	other_domain	FGFR family fingerprint	62	868	domain	interproscan	family_level
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 1 (CDS1)	1	7	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 2 (CDS2)	7	94	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 3 (CDS3)	94	179	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 4 (CDS4)	179	204	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 5 (CDS5)	204	260	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 6 (CDS6)	261	302	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 7 (CDS7)	302	365	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	IIIb_slot	exon 8 (IIIb cassette)	366	414	cassette	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 9 (CDS9)	414	482	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 10 (CDS10)	482	532	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 11 (CDS11)	532	573	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 12 (CDS12)	573	610	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 13 (CDS13)	610	673	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 14 (CDS14)	674	714	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 15 (CDS15)	715	738	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 16 (CDS16)	738	784	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 17 (CDS17)	784	819	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	coding_exon	exon 18 (CDS18)	820	873	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	warning	signal peptide not annotated (no signal-peptide predictor)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	warning	final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIb	XM_062976012.1	XP_062832082.1	873	warning	coordinates otherwise unchanged			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	ig_like_domain	Ig1	102	166	domain	interproscan	representative
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	ig_like_domain	Ig2	223	300	domain	interproscan	representative
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	ig_like_domain	Ig3	315	411	domain	interproscan	representative
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	transmembrane_pytmhmm	TM	426	448	domain	pyTMHMM	receptor_tm
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	kinase_domain	kinase	489	822	domain	interproscan	representative
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	other_domain	FGFR family fingerprint	62	868	domain	interproscan	family_level
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 1 (CDS1)	1	7	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 2 (CDS2)	7	94	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 3 (CDS3)	94	179	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 4 (CDS4)	179	204	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 5 (CDS5)	204	260	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 6 (CDS6)	261	302	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 7 (CDS7)	302	365	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	IIIc_slot	exon 8 (IIIc cassette)	366	414	cassette	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 9 (CDS9)	414	482	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 10 (CDS10)	482	532	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 11 (CDS11)	532	573	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 12 (CDS12)	573	610	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 13 (CDS13)	610	673	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 14 (CDS14)	674	714	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 15 (CDS15)	715	738	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 16 (CDS16)	738	784	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 17 (CDS17)	784	819	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	coding_exon	exon 18 (CDS18)	820	873	exon	figure3C	coordinate_mapped
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	warning	signal peptide not annotated (no signal-peptide predictor)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	warning	final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding)			warning	qc	architecture_supported_with_minor_flags
anolis_carolinensis	IIIc	XM_062976011.1	XP_062832081.1	873	warning	coordinates otherwise unchanged			warning	qc	architecture_supported_with_minor_flags
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	ig_like_domain	Ig1	64	128	domain	interproscan	representative
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	ig_like_domain	Ig2	190	267	domain	interproscan	representative
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	ig_like_domain	Ig3	282	376	domain	interproscan	representative
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	transmembrane_pytmhmm	TM	394	416	domain	pyTMHMM	receptor_tm
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	transmembrane_pytmhmm	sig. anchor	20	39	domain	pyTMHMM	n_terminal_signal_anchor
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	kinase_domain	kinase	457	790	domain	interproscan	representative
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	other_domain	FGFR family fingerprint	27	836	domain	interproscan	family_level
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 1 (CDS1)	1	56	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 2 (CDS2)	56	145	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 3 (CDS3)	145	171	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 4 (CDS4)	171	227	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 5 (CDS5)	228	269	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 6 (CDS6)	269	332	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	IIIb_slot	exon 7 (IIIb cassette)	333	381	cassette	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 8 (CDS8)	381	449	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 9 (CDS9)	449	499	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 10 (CDS10)	499	540	exon	figure3C	coordinate_mapped
bos_taurus	IIIb	XM_059881740.1	XP_059737723.1	841	coding_exon	exon 11 (CDS11)	540	577	exon	figure3C	coordinate_mapped
