species	isoform	final_isoform_label	transcript_id	protein_id	protein_length	interpro_accession	interpro_description	member_database	signature_accession	signature_description	domain_class_simplified	domain_start_aa	domain_end_aa	source_file
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			Gene3D	G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1	kinase_domain	459	588	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			FunFam	G3DSA:3.30.200.20:FF:000011	Fibroblast growth factor receptor	fgfr_family	461	588	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			CDD	cd05101	PTKc_FGFR2	fgfr_family	478	790	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR011009	Protein kinase-like domain superfamily	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	kinase_domain	493	779	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	Pfam	PF07714	Protein tyrosine and serine/threonine kinase	kinase_domain	503	779	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	kinase_domain	503	792	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR020635	Tyrosine-protein kinase, catalytic domain	SMART	SM00219	tyrkin_6	kinase_domain	503	779	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR017441	Protein kinase, ATP binding site	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	kinase_domain	509	539	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	586	599	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	other_domain	589	784	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			FunFam	G3DSA:1.10.510.10:FF:000007	Fibroblast growth factor receptor	fgfr_family	589	784	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	638	656	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR008266	Tyrosine-protein kinase, active site	ProSitePatterns	PS00109	Tyrosine protein kinases specific active-site signature.	kinase_domain	644	656	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	687	697	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	706	728	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	750	772	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	796	827	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIb	IIIb	XM_059730070.1	XP_059586053.1	869			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	801	814	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR016248	Fibroblast growth factor receptor family	PIRSF	PIRSF000628	FGFR	fgfr_family	28	819	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	61	147	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			FunFam	G3DSA:2.60.40.10:FF:000252	Fibroblast growth factor receptor	fgfr_family	63	151	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	63	151	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	67	149	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			Pfam	PF13927	Immunoglobulin domain	ig_like_domain	67	131	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	69	147	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	75	136	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR050122	Receptor Tyrosine Kinase	PANTHER	PTHR24416	TYROSINE-PROTEIN KINASE RECEPTOR	fgfr_family	91	784	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	163	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			FunFam	G3DSA:2.60.40.10:FF:000016	Fibroblast growth factor receptor	fgfr_family	165	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	175	268	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			CDD	cd05857	IgI_2_FGFR	fgfr_family	175	269	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	185	270	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	188	271	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	191	259	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR013098	Immunoglobulin I-set	Pfam	PF07679	Immunoglobulin I-set domain	ig_like_domain	192	269	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	272	386	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			FunFam	G3DSA:2.60.40.10:FF:000020	Fibroblast growth factor receptor	fgfr_family	273	385	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	277	379	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			CDD	cd05858	IgI_3_FGFR2	fgfr_family	277	381	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	277	380	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	284	381	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR013098	Immunoglobulin I-set	Pfam	PF07679	Immunoglobulin I-set domain	ig_like_domain	284	380	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	290	370	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			Gene3D	G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1	kinase_domain	458	587	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			FunFam	G3DSA:3.30.200.20:FF:000011	Fibroblast growth factor receptor	fgfr_family	460	587	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			CDD	cd05101	PTKc_FGFR2	fgfr_family	477	789	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR011009	Protein kinase-like domain superfamily	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	kinase_domain	492	778	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	Pfam	PF07714	Protein tyrosine and serine/threonine kinase	kinase_domain	502	778	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR020635	Tyrosine-protein kinase, catalytic domain	SMART	SM00219	tyrkin_6	kinase_domain	502	778	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	kinase_domain	502	791	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR017441	Protein kinase, ATP binding site	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	kinase_domain	508	538	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	585	598	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			FunFam	G3DSA:1.10.510.10:FF:000007	Fibroblast growth factor receptor	fgfr_family	588	783	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	other_domain	588	783	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	637	655	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR008266	Tyrosine-protein kinase, active site	ProSitePatterns	PS00109	Tyrosine protein kinases specific active-site signature.	kinase_domain	643	655	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	686	696	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	705	727	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	PRINTS	PR00109	Tyrosine kinase catalytic domain signature	kinase_domain	749	771	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	795	826	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
alligator_mississippiensis	IIIc	IIIc	XM_006266126.4	XP_006266188.1	868			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	800	813	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR016248	Fibroblast growth factor receptor family	PIRSF	PIRSF000628	FGFR	fgfr_family	27	834	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	58	144	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	60	148	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			FunFam	G3DSA:2.60.40.10:FF:000252	Fibroblast growth factor receptor	fgfr_family	60	148	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	64	146	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	66	144	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	72	133	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR050122	Receptor Tyrosine Kinase	PANTHER	PTHR24416	TYROSINE-PROTEIN KINASE RECEPTOR	fgfr_family	88	782	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	149	171	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			MobiDBLite	mobidb-lite	consensus disorder prediction	other_domain	150	163	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			FunFam	G3DSA:2.60.40.10:FF:000016	Fibroblast growth factor receptor	fgfr_family	161	268	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	161	268	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			CDD	cd05857	IgI_2_FGFR	fgfr_family	172	266	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR007110	Immunoglobulin-like domain	ProSiteProfiles	PS50835	Ig-like domain profile.	ig_like_domain	172	265	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR003599	Immunoglobulin domain subtype	SMART	SM00409	IG_3c	ig_like_domain	182	267	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	ig_like_domain	185	267	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	ig_like_domain	188	256	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR013098	Immunoglobulin I-set	Pfam	PF07679	Immunoglobulin I-set domain	ig_like_domain	189	266	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840	IPR013783	Immunoglobulin-like fold	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	ig_like_domain	269	379	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
ambystoma_mexicanum	IIIb	IIIb	XM_069611953.1	XP_069468054.1	840			FunFam	G3DSA:2.60.40.10:FF:000020	Fibroblast growth factor receptor	fgfr_family	270	379	results/final_30_until_interpro_prepare/14_interproscan_primary/input.fasta.tsv
