source	species	protein_id	protein_length	predicted_isoform	best_local_alignment_score	second_best_score	score_margin	cassette_start_aa	cassette_end_aa	reference_coverage	IIIb_score	IIIc_score
ensembl	homo_sapiens	ENSP00000744878	766	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000775994	317	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ensembl	homo_sapiens	ENSP00000808663	821	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	homo_sapiens	ENSP00000813085	822	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ncbi	homo_sapiens	NP_000132.3	821	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001138385.1	769	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ncbi	homo_sapiens	NP_001138386.1	709	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ncbi	homo_sapiens	NP_001138387.1	707	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001138388.1	706	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001138389.1	705	IIIb	54.0	53.0	1.0	216	249	0.7391304347826086	54.0	53.0
ncbi	homo_sapiens	NP_001138390.1	704	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001138391.1	680	IIIb	237.0	116.5	120.5	225	270	1.0	237.0	116.5
ncbi	homo_sapiens	NP_001307583.1	593	IIIc	250.0	116.5	133.5	86	133	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001307587.1	819	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001428016.1	820	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ncbi	homo_sapiens	NP_001428017.1	731	IIIb	237.0	116.5	120.5	225	270	1.0	237.0	116.5
ncbi	homo_sapiens	NP_001428018.1	730	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001428019.1	706	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ncbi	homo_sapiens	NP_001428020.1	670	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ncbi	homo_sapiens	NP_075259.4	822	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ncbi	homo_sapiens	NP_075418.1	732	IIIc	250.0	116.5	133.5	225	272	1.0	116.5	250.0
ncbi	homo_sapiens	XP_006717773.1	807	IIIb	237.0	116.5	120.5	333	378	1.0	237.0	116.5
ncbi	homo_sapiens	XP_016871409.1	805	IIIb	237.0	116.5	120.5	333	378	1.0	237.0	116.5
ncbi	homo_sapiens	XP_016871410.1	804	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ncbi	homo_sapiens	XP_024303658.1	752	IIIb	237.0	116.5	120.5	244	289	1.0	237.0	116.5
ncbi	homo_sapiens	XP_024303659.1	726	IIIb	237.0	116.5	120.5	218	263	1.0	237.0	116.5
ncbi	homo_sapiens	XP_054221140.1	807	IIIb	237.0	116.5	120.5	333	378	1.0	237.0	116.5
ncbi	homo_sapiens	XP_054221141.1	805	IIIb	237.0	116.5	120.5	333	378	1.0	237.0	116.5
ncbi	homo_sapiens	XP_054221142.1	804	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ncbi	homo_sapiens	XP_054221143.1	752	IIIb	237.0	116.5	120.5	244	289	1.0	237.0	116.5
ncbi	homo_sapiens	XP_054221147.1	726	IIIb	237.0	116.5	120.5	218	263	1.0	237.0	116.5
ensembl	mus_musculus	ENSMUSP00000112430	840	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000112471	724	IIIb	232.0	115.5	116.5	225	270	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000112580	705	IIIb	232.0	115.5	116.5	199	244	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000112585	698	IIIb	232.0	115.5	116.5	199	244	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000112623	813	IIIb	232.0	115.5	116.5	314	359	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000112672	695	IIIc	250.0	116.5	133.5	199	246	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000112992	820	IIIb	232.0	115.5	116.5	314	359	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113010	819	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000113180	822	IIIb	232.0	115.5	116.5	314	359	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113187	608	IIIc	250.0	116.5	133.5	101	148	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000113248	726	IIIb	232.0	115.5	116.5	218	263	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113415	731	IIIb	232.0	115.5	116.5	225	270	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113452	609	IIIb	232.0	115.5	116.5	101	146	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113474	709	IIIc	56.0	54.0	2.0	216	249	0.7083333333333334	54.0	56.0
ensembl	mus_musculus	ENSMUSP00000113993	696	IIIb	232.0	115.5	116.5	199	244	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000113994	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000120100	334	IIIc	56.0	54.0	2.0	235	268	0.7083333333333334	54.0	56.0
ensembl	mus_musculus	ENSMUSP00000122856	61	IIIc	20.0	15.0	5.0	13	21	0.1875	15.0	20.0
ensembl	mus_musculus	ENSMUSP00000130971	182	IIIb	19.0	17.0	2.0	125	144	0.43478260869565216	19.0	17.0
ensembl	mus_musculus	ENSMUSP00000198660	689	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198661	749	IIIc	250.0	116.5	133.5	244	291	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198662	715	IIIc	250.0	116.5	133.5	244	291	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198663	804	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198664	270	IIIb	232.0	115.5	116.5	218	263	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000198665	625	IIIc	250.0	116.5	133.5	120	167	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198666	82	IIIb	28.0	27.0	1.0	18	30	0.2826086956521739	28.0	27.0
ensembl	mus_musculus	ENSMUSP00000198667	92	IIIb	28.0	27.0	1.0	18	30	0.2826086956521739	28.0	27.0
ensembl	mus_musculus	ENSMUSP00000198668	706	IIIc	159.0	66.5	92.5	218	248	0.6458333333333334	66.5	159.0
ensembl	mus_musculus	ENSMUSP00000198669	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198670	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198671	689	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198672	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198673	749	IIIc	250.0	116.5	133.5	244	291	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198674	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000198675	172	IIIc	47.0	40.0	7.0	109	132	0.5	40.0	47.0
ensembl	mus_musculus	ENSMUSP00000198676	83	IIIb	28.0	27.0	1.0	18	30	0.2826086956521739	28.0	27.0
ensembl	mus_musculus	ENSMUSP00000198677	172	IIIc	47.0	40.0	7.0	109	132	0.5	40.0	47.0
ensembl	mus_musculus	ENSMUSP00000198678	172	IIIc	47.0	40.0	7.0	109	132	0.5	40.0	47.0
ensembl	mus_musculus	ENSMUSP00000198679	172	IIIc	47.0	40.0	7.0	109	132	0.5	40.0	47.0
ensembl	mus_musculus	ENSMUSP00000354177	172	IIIc	47.0	40.0	7.0	109	132	0.5	40.0	47.0
ncbi	mus_musculus	NP_001334567.1	723	IIIc	250.0	116.5	133.5	218	265	1.0	116.5	250.0
ncbi	mus_musculus	NP_034337.2	840	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ncbi	mus_musculus	NP_963895.2	726	IIIb	232.0	115.5	116.5	218	263	1.0	232.0	115.5
ensembl	gallus_gallus	ENSGALP00010001707	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ensembl	gallus_gallus	ENSGALP00010001711	728	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ensembl	gallus_gallus	ENSGALP00010001715	789	IIIc	247.0	113.5	133.5	283	330	1.0	113.5	247.0
ensembl	gallus_gallus	ENSGALP00010001717	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ensembl	gallus_gallus	ENSGALP00010001719	842	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	NP_990650.2	842	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_015144070.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144071.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144072.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144073.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_015144074.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144075.1	754	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144076.1	753	IIIc	247.0	113.5	133.5	246	293	1.0	113.5	247.0
ncbi	gallus_gallus	XP_015144077.1	729	IIIb	223.0	116.5	106.5	221	266	1.0	223.0	116.5
ncbi	gallus_gallus	XP_015144078.1	728	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_015144080.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_025007258.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_040558216.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_040558218.1	825	IIIc	159.0	66.5	92.5	335	365	0.6458333333333334	66.5	159.0
ncbi	gallus_gallus	XP_040558219.1	823	IIIc	159.0	66.5	92.5	335	365	0.6458333333333334	66.5	159.0
ncbi	gallus_gallus	XP_040558220.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_040558221.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_040558222.1	823	IIIc	159.0	66.5	92.5	335	365	0.6458333333333334	66.5	159.0
ncbi	gallus_gallus	XP_040558224.1	754	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_040558225.1	752	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_040558226.1	752	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798695.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798696.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798697.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798698.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798699.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798700.1	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798701.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798702.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798703.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798704.1	840	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798705.1	823	IIIc	159.0	66.5	92.5	335	365	0.6458333333333334	66.5	159.0
ncbi	gallus_gallus	XP_046798706.1	752	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798707.1	752	IIIb	223.0	116.5	106.5	246	291	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798708.1	751	IIIc	247.0	113.5	133.5	246	293	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798709.1	751	IIIc	247.0	113.5	133.5	246	293	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798710.1	751	IIIc	247.0	113.5	133.5	246	293	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798711.1	751	IIIc	247.0	113.5	133.5	246	293	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798712.1	734	IIIc	159.0	66.5	92.5	246	276	0.6458333333333334	66.5	159.0
ncbi	gallus_gallus	XP_046798713.1	727	IIIb	223.0	116.5	106.5	221	266	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798714.1	727	IIIb	223.0	116.5	106.5	221	266	1.0	223.0	116.5
ncbi	gallus_gallus	XP_046798715.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798716.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798717.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798719.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ncbi	gallus_gallus	XP_046798720.1	726	IIIc	247.0	113.5	133.5	221	268	1.0	113.5	247.0
ensembl	anolis_carolinensis	ENSACAP00000016963	873	IIIc	230.0	115.5	114.5	367	413	0.9791666666666666	115.5	230.0
ensembl	anolis_carolinensis	ENSACAP00000022870	873	IIIb	208.0	118.5	89.5	366	411	1.0	208.0	118.5
ensembl	anolis_carolinensis	ENSACAP00000030966	763	IIIb	208.0	118.5	89.5	256	301	1.0	208.0	118.5
ensembl	anolis_carolinensis	ENSACAP00000038140	788	IIIc	230.0	115.5	114.5	282	328	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_008104984.1	871	IIIc	230.0	115.5	114.5	367	413	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_008104985.1	871	IIIb	208.0	118.5	89.5	366	411	1.0	208.0	118.5
ncbi	anolis_carolinensis	XP_008104992.1	761	IIIc	230.0	115.5	114.5	257	303	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832081.1	873	IIIc	230.0	115.5	114.5	367	413	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832082.1	873	IIIb	208.0	118.5	89.5	366	411	1.0	208.0	118.5
ncbi	anolis_carolinensis	XP_062832084.1	838	IIIc	230.0	115.5	114.5	332	378	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832085.1	788	IIIc	230.0	115.5	114.5	282	328	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832086.1	788	IIIb	208.0	118.5	89.5	281	326	1.0	208.0	118.5
ncbi	anolis_carolinensis	XP_062832087.1	786	IIIc	230.0	115.5	114.5	282	328	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832088.1	786	IIIb	208.0	118.5	89.5	281	326	1.0	208.0	118.5
ncbi	anolis_carolinensis	XP_062832089.1	763	IIIc	230.0	115.5	114.5	257	303	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832090.1	763	IIIb	208.0	118.5	89.5	256	301	1.0	208.0	118.5
ensembl	xenopus_tropicalis	ENSXETP00000034027	832	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
ensembl	xenopus_tropicalis	ENSXETP00000069725	910	IIIc	218.0	104.5	113.5	401	448	1.0	104.5	218.0
ensembl	xenopus_tropicalis	ENSXETP00000075792	765	IIIc	218.0	104.5	113.5	258	305	1.0	104.5	218.0
ensembl	xenopus_tropicalis	ENSXETP00000076437	834	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
ensembl	xenopus_tropicalis	ENSXETP00000087394	832	IIIb	187.0	112.5	74.5	326	368	0.9347826086956522	187.0	112.5
ensembl	xenopus_tropicalis	ENSXETP00000091306	832	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
ncbi	xenopus_tropicalis	NP_001096326.1	832	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
ncbi	xenopus_tropicalis	XP_012821350.1	834	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
ncbi	xenopus_tropicalis	XP_012821352.1	834	IIIb	187.0	112.5	74.5	326	368	0.9347826086956522	187.0	112.5
ncbi	xenopus_tropicalis	XP_012821353.1	749	IIIc	218.0	104.5	113.5	240	287	1.0	104.5	218.0
ncbi	xenopus_tropicalis	XP_012821354.1	662	IIIc	218.0	104.5	113.5	153	200	1.0	104.5	218.0
ensembl	danio_rerio	ENSDARP00000075360	815	IIIc	224.0	107.5	116.5	315	361	0.9791666666666666	107.5	224.0
ensembl	danio_rerio	ENSDARP00000089041	751	IIIc	224.0	107.5	116.5	249	295	0.9791666666666666	107.5	224.0
ensembl	danio_rerio	ENSDARP00000123845	815	IIIb	169.0	120.5	48.5	315	359	0.9782608695652174	169.0	120.5
ensembl	danio_rerio	ENSDARP00000124472	838	IIIc	224.0	107.5	116.5	338	384	0.9791666666666666	107.5	224.0
ensembl	danio_rerio	ENSDARP00000124761	840	IIIc	224.0	107.5	116.5	338	384	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	NP_001229933.1	817	IIIc	224.0	107.5	116.5	315	361	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	NP_001229934.1	815	IIIb	169.0	120.5	48.5	315	359	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	NP_001229935.1	728	IIIc	224.0	107.5	116.5	226	272	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	NP_001429094.1	699	IIIb	169.0	120.5	48.5	201	245	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	NP_001429095.1	701	IIIc	224.0	107.5	116.5	201	247	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	NP_001429096.1	724	IIIb	169.0	120.5	48.5	226	270	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	NP_001429097.1	726	IIIc	224.0	107.5	116.5	226	272	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	NP_001429098.1	813	IIIb	169.0	120.5	48.5	315	359	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	NP_840088.2	815	IIIc	224.0	107.5	116.5	315	361	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_005169609.1	836	IIIb	169.0	120.5	48.5	338	382	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_068081038.1	840	IIIc	224.0	107.5	116.5	338	384	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_068081039.1	838	IIIb	169.0	120.5	48.5	338	382	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_068081040.1	751	IIIc	224.0	107.5	116.5	249	295	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_068081041.1	726	IIIc	224.0	107.5	116.5	224	270	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_073775488.1	749	IIIc	224.0	107.5	116.5	249	295	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_073775489.1	749	IIIb	169.0	120.5	48.5	249	293	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_073775490.1	747	IIIb	169.0	120.5	48.5	249	293	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_073775491.1	724	IIIc	224.0	107.5	116.5	224	270	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_073775492.1	724	IIIb	169.0	120.5	48.5	224	268	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_073775493.1	722	IIIb	169.0	120.5	48.5	224	268	0.9782608695652174	169.0	120.5
ensembl	gasterosteus_aculeatus	ENSGACP00000004504	915	IIIc	224.0	181.0	43.0	443	489	0.9791666666666666	181.0	224.0
ensembl	gasterosteus_aculeatus	ENSGACP00000038842	731	IIIb	173.0	110.5	62.5	308	350	0.9347826086956522	173.0	110.5
ensembl	gasterosteus_aculeatus	ENSGACP00000042484	762	IIIc	224.0	115.5	108.5	308	354	0.9791666666666666	115.5	224.0
ensembl	gasterosteus_aculeatus	ENSGACP00000043937	781	IIIb	181.0	118.5	62.5	308	352	0.9782608695652174	181.0	118.5
ensembl	gasterosteus_aculeatus	ENSGACP00000045947	785	IIIc	214.0	115.0	99.0	313	357	0.9375	115.0	214.0
ensembl	gasterosteus_aculeatus	ENSGACP00000047216	915	IIIb	181.0	118.5	62.5	126	170	0.9782608695652174	181.0	118.5
ensembl	gasterosteus_aculeatus	ENSGACP00000056569	770	IIIb	173.0	110.5	62.5	303	345	0.9347826086956522	173.0	110.5
ensembl	gasterosteus_aculeatus	ENSGACP00000061458	917	IIIc	224.0	181.0	43.0	443	489	0.9791666666666666	181.0	224.0
ensembl	gasterosteus_aculeatus	ENSGACP00000067999	779	IIIb	181.0	118.5	62.5	303	347	0.9782608695652174	181.0	118.5
ensembl	gasterosteus_aculeatus	ENSGACP00000070358	821	IIIb	181.0	118.5	62.5	349	393	0.9782608695652174	181.0	118.5
ncbi	gasterosteus_aculeatus	XP_077960645.1	946	IIIc	224.0	115.5	108.5	445	491	0.9791666666666666	115.5	224.0
ncbi	gasterosteus_aculeatus	XP_077960646.1	946	IIIc	224.0	115.5	108.5	445	491	0.9791666666666666	115.5	224.0
