sequence_id	sequence_md5	sequence_length	member_database	signature_accession	signature_description	domain_start_aa	domain_end_aa	score	status	date	interpro_accession	interpro_description	go_terms	pathways	safe_species	source	predicted_isoform	protein_id	species	cassette_start_aa	cassette_end_aa	protein_length	is_ig_call	overlap_start	overlap_end	overlap_aa	end_signed_offset	end_abs_offset	start_inside	start_distance_nearest_edge
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	SMART	SM00408	igc2_5	290	370	9.5E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	370	36	-12	12	True	35
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	SMART	SM00409	IG_3c	284	381	2.8E-14	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	381	47	-1	1	True	46
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	SMART	SM00409	IG_3c	263	360	1.8E-13	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	360	47	-1	1	True	46
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	SMART	SM00408	igc2_5	269	349	8.7E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	349	36	-12	12	True	35
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	ProSiteProfiles	PS50835	Ig-like domain profile.	256	358	10.026751	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	358	45	-3	3	True	44
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	SUPERFAMILY	SSF48726	Immunoglobulin	256	359	8.63E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	359	46	-2	2	True	45
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	Pfam	PF13927	Immunoglobulin domain	266	346	1.5E-6	T	04-08-2026	-	-	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	346	33	-15	15	True	32
homo_sapiens|ensembl|IIIc|ENSP00000351276	8278583234a3eda2a192d8bb50e1fab8	821	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	251	362	1.4E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	homo_sapiens	ensembl	IIIc	ENSP00000351276	homo_sapiens	314	361	821	True	314	361	48	1	1	True	48
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	SMART	SM00409	IG_3c	263	360	1.8E-13	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	360	47	-1	1	True	46
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	SMART	SM00408	igc2_5	269	349	8.7E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	349	36	-12	12	True	35
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	ProSiteProfiles	PS50835	Ig-like domain profile.	256	358	10.026751	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	358	45	-3	3	True	44
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	SUPERFAMILY	SSF48726	Immunoglobulin	256	359	8.63E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	359	46	-2	2	True	45
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	Pfam	PF13927	Immunoglobulin domain	266	346	1.5E-6	T	04-08-2026	-	-	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	346	33	-15	15	True	32
homo_sapiens|ncbi|IIIc|NP_000132.3	8278583234a3eda2a192d8bb50e1fab8	821	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	251	362	1.4E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	homo_sapiens	ncbi	IIIc	NP_000132.3	homo_sapiens	314	361	821	True	314	361	48	1	1	True	48
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	Pfam	PF07679	Immunoglobulin I-set domain	263	357	2.1E-5	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	357	44	-2	2	True	43
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	ProSiteProfiles	PS50835	Ig-like domain profile.	256	356	10.117498	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	356	43	-3	3	True	42
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	251	364	1.3E-27	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	359	46	5	5	True	50
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	SMART	SM00408	igc2_5	269	347	2.1E-4	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	347	34	-12	12	True	33
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	SUPERFAMILY	SSF48726	Immunoglobulin	256	357	2.4E-17	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	357	44	-2	2	True	43
mus_musculus|ensembl|IIIb|ENSMUSP00000113180	ff1488ed7ab1eeab2a2cd44c8fe373b8	822	SMART	SM00409	IG_3c	263	358	1.3E-11	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	mus_musculus	ensembl	IIIb	ENSMUSP00000113180	mus_musculus	314	359	822	True	314	358	45	-1	1	True	44
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	ProSiteProfiles	PS50835	Ig-like domain profile.	256	356	10.280846	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	356	43	-3	3	True	42
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	SUPERFAMILY	SSF48726	Immunoglobulin	256	357	1.02E-17	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	357	44	-2	2	True	43
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	Pfam	PF07679	Immunoglobulin I-set domain	263	357	7.8E-6	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	357	44	-2	2	True	43
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	SMART	SM00408	igc2_5	269	347	1.2E-4	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	347	34	-12	12	True	33
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	251	363	6.9E-28	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	359	46	4	4	True	49
homo_sapiens|ensembl|IIIb|ENSP00000410294	7fcbbdc6f97d73587e959f6331bf4358	822	SMART	SM00409	IG_3c	263	358	5.0E-12	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	homo_sapiens	ensembl	IIIb	ENSP00000410294	homo_sapiens	314	359	822	True	314	358	45	-1	1	True	44
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	ProSiteProfiles	PS50835	Ig-like domain profile.	256	356	10.280846	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	356	43	-3	3	True	42
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	SUPERFAMILY	SSF48726	Immunoglobulin	256	357	1.02E-17	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	357	44	-2	2	True	43
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	Pfam	PF07679	Immunoglobulin I-set domain	263	357	7.8E-6	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	357	44	-2	2	True	43
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	SMART	SM00408	igc2_5	269	347	1.2E-4	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	347	34	-12	12	True	33
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	251	363	6.9E-28	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	359	46	4	4	True	49
homo_sapiens|ncbi|IIIb|NP_075259.4	7fcbbdc6f97d73587e959f6331bf4358	822	SMART	SM00409	IG_3c	263	358	5.0E-12	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	homo_sapiens	ncbi	IIIb	NP_075259.4	homo_sapiens	314	359	822	True	314	358	45	-1	1	True	44
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	ProSiteProfiles	PS50835	Ig-like domain profile.	275	377	10.026751	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	377	45	-3	3	True	44
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	SUPERFAMILY	SSF48726	Immunoglobulin	275	378	8.92E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	378	46	-2	2	True	45
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	270	382	1.4E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	380	48	2	2	True	49
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	Pfam	PF13927	Immunoglobulin domain	285	365	1.6E-6	T	04-08-2026	-	-	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	365	33	-15	15	True	32
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	SMART	SM00408	igc2_5	288	368	8.7E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	368	36	-12	12	True	35
mus_musculus|ncbi|IIIc|NP_034337.2	a71b517a54c91bd74edf1e723bf60281	840	SMART	SM00409	IG_3c	282	379	1.8E-13	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	mus_musculus	ncbi	IIIc	NP_034337.2	mus_musculus	333	380	840	True	333	379	47	-1	1	True	46
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	ProSiteProfiles	PS50835	Ig-like domain profile.	275	377	10.026751	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	377	45	-3	3	True	44
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	SUPERFAMILY	SSF48726	Immunoglobulin	275	378	8.92E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	378	46	-2	2	True	45
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	270	382	1.4E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	380	48	2	2	True	49
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	Pfam	PF13927	Immunoglobulin domain	285	365	1.6E-6	T	04-08-2026	-	-	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	365	33	-15	15	True	32
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	SMART	SM00408	igc2_5	288	368	8.7E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	368	36	-12	12	True	35
mus_musculus|ensembl|IIIc|ENSMUSP00000112430	a71b517a54c91bd74edf1e723bf60281	840	SMART	SM00409	IG_3c	282	379	1.8E-13	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	mus_musculus	ensembl	IIIc	ENSMUSP00000112430	mus_musculus	333	380	840	True	333	379	47	-1	1	True	46
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	ProSiteProfiles	PS50835	Ig-like domain profile.	267	367	10.498642	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	367	42	-1	1	True	41
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	SUPERFAMILY	SSF48726	Immunoglobulin	267	368	9.48E-19	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	368	43	0	0	True	42
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	Pfam	PF07679	Immunoglobulin I-set domain	274	368	8.3E-6	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	368	43	0	0	True	42
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	SMART	SM00409	IG_3c	274	369	4.7E-14	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	368	43	1	1	True	43
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	SMART	SM00408	igc2_5	280	358	0.0048	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	358	33	-10	10	True	32
xenopus_tropicalis|ensembl|IIIb|ENSXETP00000087394	45bc314c9aed9ddea08c7ffa01f6bdd1	832	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	262	375	3.0E-27	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	xenopus_tropicalis	326	368	832	True	326	368	43	7	7	True	49
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	62	174	3.1E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	170	45	4	4	True	48
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	SUPERFAMILY	SSF48726	Immunoglobulin	67	168	4.3E-20	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	168	43	-2	2	True	42
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	ProSiteProfiles	PS50835	Ig-like domain profile.	67	155	10.60754	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	155	30	-15	15	True	29
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	ProSiteProfiles	PS50835	Ig-like domain profile.	170	240	9.681906	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	170	170	1	70	70	False	44
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	SMART	SM00409	IG_3c	74	169	3.0E-13	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	169	44	-1	1	True	43
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	Pfam	PF07679	Immunoglobulin I-set domain	74	168	9.4E-8	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	168	43	-2	2	True	42
gasterosteus_aculeatus|ncbi|IIIb|XP_077960652.1	8c2ea515b626b6bdb06d74d992433322	942	SMART	SM00408	igc2_5	80	158	2.3E-5	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	gasterosteus_aculeatus	126	170	942	True	126	158	33	-12	12	True	32
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	SMART	SM00408	igc2_5	356	436	0.0021	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	436	36	-12	12	True	35
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	SUPERFAMILY	SSF48726	Immunoglobulin	343	446	1.57E-20	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	446	46	-2	2	True	45
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	Pfam	PF07679	Immunoglobulin I-set domain	350	446	5.4E-6	T	04-08-2026	IPR013098	Immunoglobulin I-set	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	446	46	-2	2	True	45
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	ProSiteProfiles	PS50835	Ig-like domain profile.	343	445	10.099348	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	445	45	-3	3	True	44
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	SMART	SM00409	IG_3c	350	447	1.1E-12	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	447	47	-1	1	True	46
xenopus_tropicalis|ensembl|IIIc|ENSXETP00000069725	79f654f5cf4f51880d95b33c0874defd	910	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	338	450	7.0E-29	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	xenopus_tropicalis	401	448	910	True	401	448	48	2	2	True	49
anolis_carolinensis|ensembl|IIIb|ENSACAP00000022870	84aa8099d3b3e6d254c1d040e7194dfe	873	SMART	SM00406	igv1_8	325	394	0.1	T	04-08-2026	IPR013106	Immunoglobulin V-set domain	-	-	anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	anolis_carolinensis	366	411	873	True	366	394	29	-17	17	True	28
anolis_carolinensis|ensembl|IIIb|ENSACAP00000022870	84aa8099d3b3e6d254c1d040e7194dfe	873	ProSiteProfiles	PS50835	Ig-like domain profile.	308	408	10.280846	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	anolis_carolinensis	366	411	873	True	366	408	43	-3	3	True	42
anolis_carolinensis|ensembl|IIIb|ENSACAP00000022870	84aa8099d3b3e6d254c1d040e7194dfe	873	Pfam	PF13927	Immunoglobulin domain	315	396	2.7E-6	T	04-08-2026	-	-	-	-	anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	anolis_carolinensis	366	411	873	True	366	396	31	-15	15	True	30
anolis_carolinensis|ensembl|IIIb|ENSACAP00000022870	84aa8099d3b3e6d254c1d040e7194dfe	873	SUPERFAMILY	SSF48726	Immunoglobulin	308	409	5.05E-19	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	anolis_carolinensis	ensembl	IIIb	ENSACAP00000022870	anolis_carolinensis	366	411	873	True	366	409	44	-2	2	True	43
