species	source	predicted_isoform	protein_id	member_database	domain_start_aa	domain_end_aa	cassette_start_aa	cassette_end_aa	n_signatures	end_signed_offset	end_abs_offset	end_support	start_inside	start_distance_nearest_edge	start_support
danio_rerio	ensembl	IIIc	ENSDARP00000124761	SMART	289.0	377.5	338	384	2	-6.5	6.5	True	True	39.5	True
danio_rerio	ensembl	IIIc	ENSDARP00000124761	SUPERFAMILY	279.0	382.0	338	384	1	-2.0	2.0	True	True	44.0	True
danio_rerio	ncbi	IIIb	XP_068081039.1	Gene3D	274.0	386.0	338	382	1	4.0	4.0	True	True	48.0	True
danio_rerio	ncbi	IIIb	XP_068081039.1	Pfam	286.0	380.0	338	382	1	-2.0	2.0	True	True	42.0	True
danio_rerio	ncbi	IIIb	XP_068081039.1	ProSiteProfiles	279.0	367.0	338	382	1	-15.0	15.0	True	True	29.0	True
danio_rerio	ncbi	IIIb	XP_068081039.1	SMART	289.0	375.5	338	382	2	-6.5	6.5	True	True	37.5	True
danio_rerio	ncbi	IIIb	XP_068081039.1	SUPERFAMILY	279.0	380.0	338	382	1	-2.0	2.0	True	True	42.0	True
danio_rerio	ncbi	IIIc	XP_068081038.1	Gene3D	274.0	388.0	338	384	1	4.0	4.0	True	True	50.0	True
danio_rerio	ncbi	IIIc	XP_068081038.1	Pfam	286.0	382.0	338	384	1	-2.0	2.0	True	True	44.0	True
danio_rerio	ncbi	IIIc	XP_068081038.1	ProSiteProfiles	279.0	381.0	338	384	1	-3.0	3.0	True	True	43.0	True
danio_rerio	ncbi	IIIc	XP_068081038.1	SMART	289.0	377.5	338	384	2	-6.5	6.5	True	True	39.5	True
danio_rerio	ncbi	IIIc	XP_068081038.1	SUPERFAMILY	279.0	382.0	338	384	1	-2.0	2.0	True	True	44.0	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	Gene3D	272.0	382.0	335	380	1	2.0	2.0	True	True	47.0	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	Pfam	284.0	378.0	335	380	1	-2.0	2.0	True	True	43.0	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	ProSiteProfiles	277.0	377.0	335	380	1	-3.0	3.0	True	True	42.0	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	SMART	287.0	373.5	335	380	2	-6.5	6.5	True	True	38.5	True
gallus_gallus	ensembl	IIIb	ENSGALP00010001717	SUPERFAMILY	277.0	378.0	335	380	1	-2.0	2.0	True	True	43.0	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	Gene3D	272.0	386.0	335	382	1	4.0	4.0	True	True	51.0	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	Pfam	286.0	367.0	335	382	1	-15.0	15.0	True	True	32.0	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	ProSiteProfiles	277.0	379.0	335	382	1	-3.0	3.0	True	True	44.0	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	SMART	287.0	375.5	335	382	2	-6.5	6.5	True	True	40.5	True
gallus_gallus	ensembl	IIIc	ENSGALP00010001719	SUPERFAMILY	277.0	380.0	335	382	1	-2.0	2.0	True	True	45.0	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	Gene3D	272.0	382.0	335	380	1	2.0	2.0	True	True	47.0	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	Pfam	284.0	378.0	335	380	1	-2.0	2.0	True	True	43.0	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	ProSiteProfiles	277.0	377.0	335	380	1	-3.0	3.0	True	True	42.0	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	SMART	287.0	373.5	335	380	2	-6.5	6.5	True	True	38.5	True
gallus_gallus	ncbi	IIIb	XP_015144070.1	SUPERFAMILY	277.0	378.0	335	380	1	-2.0	2.0	True	True	43.0	True
gallus_gallus	ncbi	IIIc	NP_990650.2	Gene3D	272.0	386.0	335	382	1	4.0	4.0	True	True	51.0	True
gallus_gallus	ncbi	IIIc	NP_990650.2	Pfam	286.0	367.0	335	382	1	-15.0	15.0	True	True	32.0	True
gallus_gallus	ncbi	IIIc	NP_990650.2	ProSiteProfiles	277.0	379.0	335	382	1	-3.0	3.0	True	True	44.0	True
gallus_gallus	ncbi	IIIc	NP_990650.2	SMART	287.0	375.5	335	382	2	-6.5	6.5	True	True	40.5	True
gallus_gallus	ncbi	IIIc	NP_990650.2	SUPERFAMILY	277.0	380.0	335	382	1	-2.0	2.0	True	True	45.0	True
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	Gene3D	62.0	175.0	126	170	1	5.0	5.0	True	True	49.0	True
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	Pfam	74.0	168.0	126	170	1	-2.0	2.0	True	True	42.0	True
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	ProSiteProfiles	118.5	197.5	126	170	2	27.5	27.5	False	True	7.5	False
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	SMART	77.0	163.5	126	170	2	-6.5	6.5	True	True	37.5	True
gasterosteus_aculeatus	ensembl	IIIb	ENSGACP00000047216	SUPERFAMILY	67.0	168.0	126	170	1	-2.0	2.0	True	True	42.0	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	Gene3D	244.0	358.0	308	354	1	4.0	4.0	True	True	50.0	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	Pfam	256.0	352.0	308	354	1	-2.0	2.0	True	True	44.0	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	ProSiteProfiles	249.0	351.0	308	354	1	-3.0	3.0	True	True	43.0	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	SMART	259.0	347.5	308	354	2	-6.5	6.5	True	True	39.5	True
gasterosteus_aculeatus	ensembl	IIIc	ENSGACP00000042484	SUPERFAMILY	249.0	352.0	308	354	1	-2.0	2.0	True	True	44.0	True
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	Gene3D	62.0	174.0	126	170	1	4.0	4.0	True	True	48.0	True
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	Pfam	74.0	168.0	126	170	1	-2.0	2.0	True	True	42.0	True
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	ProSiteProfiles	118.5	197.5	126	170	2	27.5	27.5	False	True	7.5	False
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	SMART	77.0	163.5	126	170	2	-6.5	6.5	True	True	37.5	True
gasterosteus_aculeatus	ncbi	IIIb	XP_077960652.1	SUPERFAMILY	67.0	168.0	126	170	1	-2.0	2.0	True	True	42.0	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	Gene3D	381.0	495.0	445	491	1	4.0	4.0	True	True	50.0	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	Pfam	393.0	489.0	445	491	1	-2.0	2.0	True	True	44.0	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	ProSiteProfiles	386.0	488.0	445	491	1	-3.0	3.0	True	True	43.0	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	SMART	396.0	484.5	445	491	2	-6.5	6.5	True	True	39.5	True
gasterosteus_aculeatus	ncbi	IIIc	XP_077960645.1	SUPERFAMILY	386.0	489.0	445	491	1	-2.0	2.0	True	True	44.0	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	Gene3D	251.0	363.0	314	359	1	4.0	4.0	True	True	49.0	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	Pfam	263.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	ProSiteProfiles	256.0	356.0	314	359	1	-3.0	3.0	True	True	42.0	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	SMART	266.0	352.5	314	359	2	-6.5	6.5	True	True	38.5	True
homo_sapiens	ensembl	IIIb	ENSP00000410294	SUPERFAMILY	256.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	Gene3D	251.0	362.0	314	361	1	1.0	1.0	True	True	48.0	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	Pfam	266.0	346.0	314	361	1	-15.0	15.0	True	True	32.0	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	ProSiteProfiles	256.0	358.0	314	361	1	-3.0	3.0	True	True	44.0	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	SMART	266.0	354.5	314	361	2	-6.5	6.5	True	True	40.5	True
homo_sapiens	ensembl	IIIc	ENSP00000351276	SUPERFAMILY	256.0	359.0	314	361	1	-2.0	2.0	True	True	45.0	True
homo_sapiens	ncbi	IIIb	NP_075259.4	Gene3D	251.0	363.0	314	359	1	4.0	4.0	True	True	49.0	True
homo_sapiens	ncbi	IIIb	NP_075259.4	Pfam	263.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
homo_sapiens	ncbi	IIIb	NP_075259.4	ProSiteProfiles	256.0	356.0	314	359	1	-3.0	3.0	True	True	42.0	True
homo_sapiens	ncbi	IIIb	NP_075259.4	SMART	266.0	352.5	314	359	2	-6.5	6.5	True	True	38.5	True
homo_sapiens	ncbi	IIIb	NP_075259.4	SUPERFAMILY	256.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
homo_sapiens	ncbi	IIIc	NP_000132.3	Gene3D	251.0	362.0	314	361	1	1.0	1.0	True	True	48.0	True
homo_sapiens	ncbi	IIIc	NP_000132.3	Pfam	266.0	346.0	314	361	1	-15.0	15.0	True	True	32.0	True
homo_sapiens	ncbi	IIIc	NP_000132.3	ProSiteProfiles	256.0	358.0	314	361	1	-3.0	3.0	True	True	44.0	True
homo_sapiens	ncbi	IIIc	NP_000132.3	SMART	266.0	354.5	314	361	2	-6.5	6.5	True	True	40.5	True
homo_sapiens	ncbi	IIIc	NP_000132.3	SUPERFAMILY	256.0	359.0	314	361	1	-2.0	2.0	True	True	45.0	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	Gene3D	251.0	364.0	314	359	1	5.0	5.0	True	True	50.0	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	Pfam	263.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	ProSiteProfiles	256.0	356.0	314	359	1	-3.0	3.0	True	True	42.0	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	SMART	266.0	352.5	314	359	2	-6.5	6.5	True	True	38.5	True
mus_musculus	ensembl	IIIb	ENSMUSP00000113180	SUPERFAMILY	256.0	357.0	314	359	1	-2.0	2.0	True	True	43.0	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	Gene3D	270.0	382.0	333	380	1	2.0	2.0	True	True	49.0	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	Pfam	285.0	365.0	333	380	1	-15.0	15.0	True	True	32.0	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	ProSiteProfiles	275.0	377.0	333	380	1	-3.0	3.0	True	True	44.0	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	SMART	285.0	373.5	333	380	2	-6.5	6.5	True	True	40.5	True
mus_musculus	ensembl	IIIc	ENSMUSP00000112430	SUPERFAMILY	275.0	378.0	333	380	1	-2.0	2.0	True	True	45.0	True
mus_musculus	ncbi	IIIb	NP_963895.2	Gene3D	155.0	268.0	218	263	1	5.0	5.0	True	True	50.0	True
mus_musculus	ncbi	IIIb	NP_963895.2	Pfam	167.0	261.0	218	263	1	-2.0	2.0	True	True	43.0	True
mus_musculus	ncbi	IIIb	NP_963895.2	ProSiteProfiles	160.0	260.0	218	263	1	-3.0	3.0	True	True	42.0	True
mus_musculus	ncbi	IIIb	NP_963895.2	SMART	170.0	256.5	218	263	2	-6.5	6.5	True	True	38.5	True
mus_musculus	ncbi	IIIb	NP_963895.2	SUPERFAMILY	160.0	261.0	218	263	1	-2.0	2.0	True	True	43.0	True
mus_musculus	ncbi	IIIc	NP_034337.2	Gene3D	270.0	382.0	333	380	1	2.0	2.0	True	True	49.0	True
mus_musculus	ncbi	IIIc	NP_034337.2	Pfam	285.0	365.0	333	380	1	-15.0	15.0	True	True	32.0	True
mus_musculus	ncbi	IIIc	NP_034337.2	ProSiteProfiles	275.0	377.0	333	380	1	-3.0	3.0	True	True	44.0	True
mus_musculus	ncbi	IIIc	NP_034337.2	SMART	285.0	373.5	333	380	2	-6.5	6.5	True	True	40.5	True
mus_musculus	ncbi	IIIc	NP_034337.2	SUPERFAMILY	275.0	378.0	333	380	1	-2.0	2.0	True	True	45.0	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	Gene3D	273.0	385.0	337	381	1	4.0	4.0	True	True	48.0	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	Pfam	285.0	379.0	337	381	1	-2.0	2.0	True	True	42.0	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	ProSiteProfiles	278.0	378.0	337	381	1	-3.0	3.0	True	True	41.0	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	SMART	288.0	374.5	337	381	2	-6.5	6.5	True	True	37.5	True
takifugu_rubripes	ensembl	IIIb	ENSTRUP00000045146	SUPERFAMILY	278.0	379.0	337	381	1	-2.0	2.0	True	True	42.0	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	Gene3D	273.0	387.0	337	383	1	4.0	4.0	True	True	50.0	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	Pfam	285.0	381.0	337	383	1	-2.0	2.0	True	True	44.0	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	ProSiteProfiles	278.0	380.0	337	383	1	-3.0	3.0	True	True	43.0	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	SMART	288.0	376.5	337	383	2	-6.5	6.5	True	True	39.5	True
takifugu_rubripes	ensembl	IIIc	ENSTRUP00000045145	SUPERFAMILY	278.0	381.0	337	383	1	-2.0	2.0	True	True	44.0	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	Gene3D	273.0	385.0	337	381	1	4.0	4.0	True	True	48.0	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	Pfam	285.0	379.0	337	381	1	-2.0	2.0	True	True	42.0	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	ProSiteProfiles	278.0	378.0	337	381	1	-3.0	3.0	True	True	41.0	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	SMART	288.0	374.5	337	381	2	-6.5	6.5	True	True	37.5	True
takifugu_rubripes	ncbi	IIIb	XP_011601191.1	SUPERFAMILY	278.0	379.0	337	381	1	-2.0	2.0	True	True	42.0	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	Gene3D	273.0	387.0	337	383	1	4.0	4.0	True	True	50.0	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	Pfam	285.0	381.0	337	383	1	-2.0	2.0	True	True	44.0	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	ProSiteProfiles	278.0	380.0	337	383	1	-3.0	3.0	True	True	43.0	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	SMART	288.0	376.5	337	383	2	-6.5	6.5	True	True	39.5	True
takifugu_rubripes	ncbi	IIIc	XP_011601188.1	SUPERFAMILY	278.0	381.0	337	383	1	-2.0	2.0	True	True	44.0	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	Gene3D	262.0	375.0	326	368	1	7.0	7.0	True	True	49.0	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	Pfam	274.0	368.0	326	368	1	0.0	0.0	True	True	42.0	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	ProSiteProfiles	267.0	367.0	326	368	1	-1.0	1.0	True	True	41.0	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	SMART	277.0	363.5	326	368	2	-4.5	4.5	True	True	37.5	True
xenopus_tropicalis	ensembl	IIIb	ENSXETP00000087394	SUPERFAMILY	267.0	368.0	326	368	1	0.0	0.0	True	True	42.0	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	Gene3D	338.0	450.0	401	448	1	2.0	2.0	True	True	49.0	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	Pfam	350.0	446.0	401	448	1	-2.0	2.0	True	True	45.0	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	ProSiteProfiles	343.0	445.0	401	448	1	-3.0	3.0	True	True	44.0	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	SMART	353.0	441.5	401	448	2	-6.5	6.5	True	True	40.5	True
xenopus_tropicalis	ensembl	IIIc	ENSXETP00000069725	SUPERFAMILY	343.0	446.0	401	448	1	-2.0	2.0	True	True	45.0	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	Gene3D	262.0	375.0	326	368	1	7.0	7.0	True	True	49.0	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	Pfam	274.0	368.0	326	368	1	0.0	0.0	True	True	42.0	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	ProSiteProfiles	267.0	367.0	326	368	1	-1.0	1.0	True	True	41.0	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	SMART	277.0	363.5	326	368	2	-4.5	4.5	True	True	37.5	True
xenopus_tropicalis	ncbi	IIIb	XP_012821352.1	SUPERFAMILY	267.0	368.0	326	368	1	0.0	0.0	True	True	42.0	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	Gene3D	262.0	374.0	325	372	1	2.0	2.0	True	True	49.0	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	Pfam	274.0	370.0	325	372	1	-2.0	2.0	True	True	45.0	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	ProSiteProfiles	267.0	369.0	325	372	1	-3.0	3.0	True	True	44.0	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	SMART	277.0	365.5	325	372	2	-6.5	6.5	True	True	40.5	True
xenopus_tropicalis	ncbi	IIIc	XP_012821350.1	SUPERFAMILY	267.0	370.0	325	372	1	-2.0	2.0	True	True	45.0	True
