species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	final_isoform_label	protein_length	native_cassette_start_aa	native_cassette_end_aa
monodelphis_domestica	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	840	332	377
monodelphis_domestica	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	839	332	379
ornithorhynchus_anatinus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	840	332	377
ornithorhynchus_anatinus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	839	332	379
gallus_gallus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	843	335	380
gallus_gallus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	842	335	382
meleagris_gallopavo	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	631	208	253
meleagris_gallopavo	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	627	220	267
taeniopygia_guttata	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	891	383	428
taeniopygia_guttata	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	890	383	430
alligator_mississippiensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	869	336	380
alligator_mississippiensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	868	335	382
chrysemys_picta_bellii	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	838	333	376
chrysemys_picta_bellii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
anolis_carolinensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	873	366	411
anolis_carolinensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	873	367	413
ambystoma_mexicanum	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	840	333	377
ambystoma_mexicanum	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	838	332	379
xenopus_tropicalis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	832	326	368
xenopus_tropicalis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	910	401	448
danio_rerio	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	838	338	382
danio_rerio	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	338	384
oryzias_latipes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	830	331	375
oryzias_latipes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	832	331	377
gasterosteus_aculeatus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	915	126	170
gasterosteus_aculeatus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	917	443	489
oreochromis_niloticus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	865	368	411
oreochromis_niloticus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	812	313	359
takifugu_rubripes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	836	337	381
takifugu_rubripes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	838	337	383
