species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	MSA_full_length_status	protein_length	length_deviation_from_median	length_outlier_flag	length_outlier_status	full_length_gap_fraction
mus_musculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	822	-18	false	within_expected_range	0.2382
mus_musculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
rattus_norvegicus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
rattus_norvegicus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
oryctolagus_cuniculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
oryctolagus_cuniculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
canis_lupus_familiaris	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	707	-133	true	within_expected_range	0.2382
canis_lupus_familiaris	IIIc	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	705	-135	true	within_expected_range	0.2382
felis_catus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
felis_catus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
equus_caballus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	887	47	false	within_expected_range	0.2382
equus_caballus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	886	46	false	within_expected_range	0.2382
sus_scrofa	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
sus_scrofa	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
bos_taurus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
bos_taurus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
ovis_aries	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	841	1	false	within_expected_range	0.2382
ovis_aries	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
monodelphis_domestica	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
monodelphis_domestica	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	839	-1	false	within_expected_range	0.2382
ornithorhynchus_anatinus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
ornithorhynchus_anatinus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	839	-1	false	within_expected_range	0.2382
gallus_gallus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	843	3	false	within_expected_range	0.2382
gallus_gallus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	842	2	false	within_expected_range	0.2382
meleagris_gallopavo	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	631	-209	true	within_expected_range	0.2382
meleagris_gallopavo	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	627	-213	true	within_expected_range	0.2382
taeniopygia_guttata	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	891	51	false	within_expected_range	0.2382
taeniopygia_guttata	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	890	50	false	within_expected_range	0.2382
alligator_mississippiensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	869	29	false	within_expected_range	0.2382
alligator_mississippiensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	868	28	false	within_expected_range	0.2382
chrysemys_picta_bellii	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
chrysemys_picta_bellii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
anolis_carolinensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	873	33	false	within_expected_range	0.2382
anolis_carolinensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	873	33	false	within_expected_range	0.2382
ambystoma_mexicanum	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
ambystoma_mexicanum	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
xenopus_tropicalis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass_with_minor_flags	832	-8	false	long_outlier_review	0.2382
xenopus_tropicalis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	910	70	false	within_expected_range	0.2382
danio_rerio	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
danio_rerio	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	840	0	false	within_expected_range	0.2382
oryzias_latipes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	830	-10	false	within_expected_range	0.2382
oryzias_latipes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	832	-8	false	within_expected_range	0.2382
gasterosteus_aculeatus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass_with_minor_flags	915	75	false	long_outlier_review	0.2382
gasterosteus_aculeatus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass_with_minor_flags	917	77	false	long_outlier_review	0.2382
oreochromis_niloticus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	865	25	false	within_expected_range	0.2382
oreochromis_niloticus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	812	-28	false	within_expected_range	0.2382
takifugu_rubripes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	836	-4	false	within_expected_range	0.2382
takifugu_rubripes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_fgfr2_full_length_protein_msa.aln.faa	full_length_msa_pass	838	-2	false	within_expected_range	0.2382
