species	isoform	final_isoform_label	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	final_label_source	visual_review_flag	final_plot_status	source_coordinate_table	human_reference_isoform	n_positions	n_identical	n_conservative	n_nonconservative	n_gap	fraction_identical_or_conservative
felis_catus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
equus_caballus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
equus_caballus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
sus_scrofa	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
sus_scrofa	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
bos_taurus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
bos_taurus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
ovis_aries	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	46	0	0	0	1.000
ovis_aries	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
monodelphis_domestica	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	41	3	2	0	0.957
monodelphis_domestica	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
ornithorhynchus_anatinus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	42	2	2	0	0.957
ornithorhynchus_anatinus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	48	0	0	0	1.000
gallus_gallus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	42	3	1	0	0.978
gallus_gallus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	47	1	0	0	1.000
meleagris_gallopavo	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	42	3	1	0	0.978
meleagris_gallopavo	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	47	1	0	0	1.000
taeniopygia_guttata	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	42	3	1	0	0.978
taeniopygia_guttata	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	47	1	0	0	1.000
alligator_mississippiensis	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	42	2	1	1	0.957
alligator_mississippiensis	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	47	1	0	0	1.000
chrysemys_picta_bellii	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	41	2	1	2	0.935
chrysemys_picta_bellii	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	47	1	0	0	1.000
anolis_carolinensis	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	40	1	5	0	0.891
anolis_carolinensis	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	44	2	1	1	0.958
ambystoma_mexicanum	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	39	3	3	1	0.913
ambystoma_mexicanum	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	45	3	0	0	1.000
xenopus_tropicalis	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	36	4	3	3	0.870
xenopus_tropicalis	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	41	4	3	0	0.938
danio_rerio	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	33	3	9	1	0.783
danio_rerio	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	42	3	2	1	0.938
oryzias_latipes	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	34	5	6	1	0.848
oryzias_latipes	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	41	4	2	1	0.938
gasterosteus_aculeatus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	35	4	6	1	0.848
gasterosteus_aculeatus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	41	4	2	1	0.938
oreochromis_niloticus	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	32	5	7	2	0.804
oreochromis_niloticus	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	43	3	1	1	0.958
takifugu_rubripes	IIIb	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIb	46	35	5	5	1	0.870
takifugu_rubripes	IIIc	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	sequence_reconciliation_confirmed	false	primary_minor_flags	MSA/final_human_referenced_residue_agreement.tsv	IIIc	48	44	2	1	1	0.958
