species_id	protein_id	layer	member_database	signature_accession	signature_name	interpro_accession	interpro_name	interpro_type	start_aa	end_aa	score_or_evalue	is_integrated
mus_musculus	NP_001276668.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	80	96	1.3e-41	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	118	129	1.3e-41	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	17	32	1.3e-41	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	99	110	1.3e-41	1
mus_musculus	NP_001276668.1	feature	PROSITE_PATTERNS	PS01259	BH3	IPR020728	Bcl2_BH3_motif_CS	CONSERVED_SITE	86	100		1
mus_musculus	NP_001276668.1	family	GENE3D	G3DSA:1.10.437.10		IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	191	3.7e-79	1
mus_musculus	NP_001276668.1	feature	MOBIDB_LITE	mobidb-lite	disorder_prediction				27	73		0
mus_musculus	NP_001276668.1	domain	PROSITE_PROFILES	PS50063	BH4_2	IPR003093	Bcl2_BH4	DOMAIN	5	24		1
mus_musculus	NP_001276668.1	family	PANTHER	PTHR11256	BCL-2 RELATED	IPR026298	Bcl-2_fam	FAMILY	2	209	8.7e-50	1
mus_musculus	NP_001276668.1	raw	FUNFAM	G3DSA:1.10.437.10:FF:000003	Bcl-2-like protein 1				1	192	5.4e-114	0
mus_musculus	NP_001276668.1	feature	PROSITE_PATTERNS	PS01260	BH4_1	IPR020731	Bcl2_BH4_motif_CS	CONSERVED_SITE	4	24		1
mus_musculus	NP_001276668.1	domain	SMART	SM00265	bh4_2	IPR003093	Bcl2_BH4	DOMAIN	1	27	1.1e-12	1
mus_musculus	NP_001276668.1	family	PROSITE_PROFILES	PS50062	BCL2_FAMILY	IPR002475	Bcl2-like	FAMILY	90	190		1
mus_musculus	NP_001276668.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	123	135	3.2e-26	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	136	164	3.2e-26	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	165	189	3.2e-26	1
mus_musculus	NP_001276668.1	feature	PROSITE_PATTERNS	PS01080	BH1	IPR020717	Bcl2_BH1_motif_CS	CONSERVED_SITE	130	148		1
mus_musculus	NP_001276668.1	domain	PFAM	PF00452	Bcl-2	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	4.7e-30	1
mus_musculus	NP_001276668.1	family	SUPERFAMILY	SSF56854	Bcl-2 inhibitors of programmed cell death	IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	189	1.14e-63	1
