analysis_id	gene_symbol	species_id	event_candidate_id	evidence_source	evidence_status	transcript_a	transcript_b	protein_a	protein_b	region_start_aa	region_end_aa	region_length_aa	event_type_candidate	exon_aligned	confidence	confidence_reason	notes
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:011	protein_isoform_difference	exploratory	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:012	protein_isoform_difference	exploratory	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:013	protein_isoform_difference	exploratory	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:014	protein_isoform_difference	exploratory	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:015	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:016	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:017	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:018	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:019	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:020	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:021	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:022	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:023	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:024	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:025	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:026	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:027	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:028	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:029	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:030	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:031	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:032	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:033	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:034	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:035	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:036	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:037	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:038	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:039	protein_isoform_difference	exploratory	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:040	protein_isoform_difference	exploratory	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:041	protein_isoform_difference	exploratory	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:042	protein_isoform_difference	exploratory	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:043	protein_isoform_difference	exploratory	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:044	protein_isoform_difference	exploratory	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:189-221:045	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	189	221	33	insertion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:191-191:046	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	191	191	1	substitution_block	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:193-216:047	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	193	216	24	deletion	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:219-225:048	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	219	225	7	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
BCL2L1_core_only_pilot	BCL2L1	mus_musculus	BCL2L1:mus_musculus:227-235:049	protein_isoform_difference	exploratory	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	227	235	9	substitution_block	no	medium	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
