species	isoform	protein_id	expected_signal_peptide_found	signal_region_supported	expected_ig_like_domain_count	transmembrane_found	pytmhmm_tm_found	interpro_tm_found	tm_agreement	receptor_tm_start_aa	receptor_tm_end_aa	kinase_found	domain_order_status	cassette_slot_position_status	exon_domain_mapping_status	exon_block_display_status	warnings	final_qc_status
danio_rerio	IIIb	XP_068081039.1	False	False	3	True	True	False	pytmhmm_only	395	417	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
danio_rerio	IIIc	XP_068081038.1	False	False	3	True	True	False	pytmhmm_only	397	419	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported_with_minor_flags
equus_caballus	IIIb	XP_014588429.1	False	False	3	True	True	False	pytmhmm_only	444	466	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported_with_minor_flags
equus_caballus	IIIc	XP_014588430.1	False	False	3	True	True	False	pytmhmm_only	443	465	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
felis_catus	IIIb	XP_044896694.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
felis_catus	IIIc	XP_044896695.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
gallus_gallus	IIIb	XP_046798696.1	False	True	3	True	True	False	pytmhmm_only	396	418	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
gallus_gallus	IIIc	NP_990650.2	False	True	3	True	True	False	pytmhmm_only	395	417	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
gasterosteus_aculeatus	IIIb	ENSGACP00000047216	False	True	3	True	True	False	pytmhmm_only	499	521	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
gasterosteus_aculeatus	IIIc	ENSGACP00000061458	False	True	3	True	True	False	pytmhmm_only	501	523	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
gorilla_gorilla_gorilla	IIIb	ENSGGOP00000051435	False	False	2	True	True	False	pytmhmm_only	286	308	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); only 2 Ig-like region(s) detected (FGFR2 expects ~3); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; native coding-exon blocks reconstructed; cassette coordinate validated separately (reference cassette upstream of TM/kinase)	architecture_supported_with_minor_flags
gorilla_gorilla_gorilla	IIIc	XP_004050253.1	False	True	2	True	True	False	pytmhmm_only	278	300	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); only 2 Ig-like region(s) detected (FGFR2 expects ~3); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
homo_sapiens	IIIb	ENSP00000813085	False	False	3	True	True	False	pytmhmm_only	375	397	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
homo_sapiens	IIIc	ENSP00000351276	False	False	3	True	True	False	pytmhmm_only	374	396	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
macaca_mulatta	IIIb	XP_015003815.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
macaca_mulatta	IIIc	XP_077803775.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
meleagris_gallopavo	IIIb	ENSMGAP00000031353	False	False	2	True	True	False	pytmhmm_only	269	291	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); only 2 Ig-like region(s) detected (FGFR2 expects ~3); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
meleagris_gallopavo	IIIc	ENSMGAP00000031571	False	False	2	True	True	False	pytmhmm_only	280	302	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); only 2 Ig-like region(s) detected (FGFR2 expects ~3); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
monodelphis_domestica	IIIb	XP_056659239.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
monodelphis_domestica	IIIc	XP_056659242.1	False	True	3	True	True	False	pytmhmm_only	392	414	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
mus_musculus	IIIb	ENSMUSP00000113180	False	False	3	True	True	False	pytmhmm_only	375	397	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
mus_musculus	IIIc	ENSMUSP00000112430	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
oreochromis_niloticus	IIIb	ENSONIP00000060910	False	False	3	True	True	False	pytmhmm_only	424	446	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
oreochromis_niloticus	IIIc	ENSONIP00000063320	False	False	3	True	True	False	pytmhmm_only	371	393	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
ornithorhynchus_anatinus	IIIb	XP_028936643.1	False	False	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported_with_minor_flags
ornithorhynchus_anatinus	IIIc	XP_028936644.1	False	False	3	True	True	False	pytmhmm_only	392	414	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
oryctolagus_cuniculus	IIIb	XP_069913100.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
oryctolagus_cuniculus	IIIc	XP_069913096.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
oryzias_latipes	IIIb	XP_011483055.1	False	True	3	True	True	False	pytmhmm_only	387	409	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported
oryzias_latipes	IIIc	XP_078787744.1	False	True	3	True	True	False	pytmhmm_only	389	411	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
ovis_aries	IIIb	XP_060260488.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
ovis_aries	IIIc	XP_060260490.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
pan_troglodytes	IIIb	XP_054516513.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
pan_troglodytes	IIIc	XP_054516514.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
pongo_abelii	IIIc	XP_024108704.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported
rattus_norvegicus	IIIb	XP_063137148.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
rattus_norvegicus	IIIc	XP_063137149.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
sus_scrofa	IIIb	XP_084849194.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
sus_scrofa	IIIc	XP_084849197.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
taeniopygia_guttata	IIIb	XP_072787408.1	False	False	3	True	True	False	pytmhmm_only	444	466	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported_with_minor_flags
taeniopygia_guttata	IIIc	XP_072787409.1	False	False	3	True	True	False	pytmhmm_only	443	465	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
takifugu_rubripes	IIIb	ENSTRUP00000045146	False	False	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported_with_minor_flags
takifugu_rubripes	IIIc	ENSTRUP00000045145	False	False	3	True	True	False	pytmhmm_only	395	417	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
xenopus_tropicalis	IIIb	ENSXETP00000087394	False	False	3	True	True	False	pytmhmm_only	388	410	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; native coding-exon blocks reconstructed; cassette coordinate validated separately (reference cassette upstream of TM/kinase)	architecture_supported_with_minor_flags
xenopus_tropicalis	IIIc	ENSXETP00000069725	False	False	3	True	True	False	pytmhmm_only	464	486	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase	architecture_supported_with_minor_flags
