protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_002825.3	NM_002834.5	alternative	E8	8	112477651	112477730	285	311	shared	E8	
NP_002825.3	NM_002834.5	alternative	E9	9	112477857	112478015	312	364	shared	E9	
NP_002825.3	NM_002834.5	alternative	E10	10	112482074	112482205	365	408	shared	E10	
NP_002825.3	NM_002834.5	alternative	E11	11	112486475	112486629	409	460	shifted	E11	
NP_002825.3	NM_002834.5	alternative	E12	12	112488443	112488510	460	483	shared	E12	
NP_002825.3	NM_002834.5	alternative	E13	13	112489024	112489175	483	533	shared	E13	
NP_002825.3	NM_002834.5	alternative	E14	14	112502144	112502256	534	571	shared	E14	
NP_002825.3	NM_002834.5	alternative	E15	15	112504695	112504764	571	593	shared	E15	
NP_542168.1	NM_080601.3	alternative	E1	1	112419112	112419125	1	5	shared	E1	
NP_542168.1	NM_080601.3	alternative	E2	2	112446276	112446398	5	46	shared	E2	
NP_542168.1	NM_080601.3	alternative	E3	3	112450318	112450512	46	111	shared	E3	
NP_542168.1	NM_080601.3	alternative	E4	4	112453195	112453387	111	175	shared	E4	
NP_542168.1	NM_080601.3	alternative	E5	5	112454564	112454680	176	214	shared	E5	
NP_542168.1	NM_080601.3	alternative	E6	6	112455950	112456063	215	252	shared	E6	
NP_542168.1	NM_080601.3	alternative	E7	7	112472944	112473040	253	285	shared	E7	
NP_542168.1	NM_080601.3	alternative	E8	8	112477651	112477730	285	311	shared	E8	
NP_542168.1	NM_080601.3	alternative	E9	9	112477857	112478015	312	364	shared	E9	
NP_542168.1	NM_080601.3	alternative	E10	10	112482074	112482205	365	408	shared	E10	
NP_542168.1	NM_080601.3	alternative	E11	11	112486475	112486633	409	460	shifted	E11	
NP_542168.1	NM_080601.3	alternative			112488443	112488510			missing	E12	460
NP_542168.1	NM_080601.3	alternative			112489024	112489175			missing	E13	1
NP_542168.1	NM_080601.3	alternative			112502144	112502256			missing	E14	1
NP_542168.1	NM_080601.3	alternative			112504695	112504764			missing	E15	1
XP_011536915.1	XM_011538613.3	alternative	E1	1	112419112	112419125	1	5	shared	E1	
XP_011536915.1	XM_011538613.3	alternative	E2	2	112446276	112446398	5	46	shared	E2	
XP_011536915.1	XM_011538613.3	alternative	E3	3	112450321	112450512	46	110	shifted	E3	
XP_011536915.1	XM_011538613.3	alternative	E4	4	112453195	112453387	110	174	shared	E4	
XP_011536915.1	XM_011538613.3	alternative	E5	5	112454564	112454680	175	213	shared	E5	
XP_011536915.1	XM_011538613.3	alternative	E6	6	112455950	112456063	214	251	shared	E6	
XP_011536915.1	XM_011538613.3	alternative	E7	7	112472944	112473040	252	284	shared	E7	
XP_011536915.1	XM_011538613.3	alternative	E8	8	112477651	112477730	284	310	shared	E8	
XP_011536915.1	XM_011538613.3	alternative	E9	9	112477857	112478015	311	363	shared	E9	
XP_011536915.1	XM_011538613.3	alternative	E10	10	112482074	112482205	364	407	shared	E10	
XP_011536915.1	XM_011538613.3	alternative	E11	11	112486463	112486629	408	463	shared	E11	
XP_011536915.1	XM_011538613.3	alternative	E12	12	112488443	112488510	463	486	shared	E12	
XP_011536915.1	XM_011538613.3	alternative	E13	13	112489024	112489175	486	536	shared	E13	
XP_011536915.1	XM_011538613.3	alternative	E14	14	112502144	112502256	537	574	shared	E14	
XP_011536915.1	XM_011538613.3	alternative	E15	15	112504695	112504764	574	596	shared	E15	
