comparable_boundary_group_id	mapping_method	mapping_status	group_n_species	group_species_coverage	group_msa_column	run_id	species_id	scientific_name	protein_id	transcript_id	boundary_id	left_exon_id	right_exon_id	exon_transition	native_protein_position	msa_column	msa_mapping_status	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_edge	nearest_edge_position	signed_distance	absolute_distance	boundary_class	domain_annotation_available	mapping_confidence	review_reason
CBG4	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	175	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds4_end	NP_035332.1:cds4	NP_035332.1:cds5	E4 → E5	175	175	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-41	41	inside_domain	True	1.0	
CBG4	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	175	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds4_end	NP_001171064.1:cds4	NP_001171064.1:cds5	E4 → E5	175	175	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-41	41	inside_domain	True	1.0	
CBG5	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	214	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds5_end	NP_001317366.1:cds5	NP_001317366.1:cds6	E5 → E6	214	214	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-2	2	near_domain_edge	True	1.0	
CBG5	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	214	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds5_end	NP_035332.1:cds5	NP_035332.1:cds6	E5 → E6	214	214	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-2	2	near_domain_edge	True	1.0	
CBG5	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	214	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds5_end	NP_001171064.1:cds5	NP_001171064.1:cds6	E5 → E6	214	214	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-2	2	near_domain_edge	True	1.0	
CBG6	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	252	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds6_end	NP_001317366.1:cds6	NP_001317366.1:cds7	E6 → E7	252	252	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	6	6	inside_domain	True	1.0	
CBG6	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	252	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds6_end	NP_035332.1:cds6	NP_035332.1:cds7	E6 → E7	252	252	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	6	6	inside_domain	True	1.0	
CBG6	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	252	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds6_end	NP_001171064.1:cds6	NP_001171064.1:cds7	E6 → E7	252	252	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	6	6	inside_domain	True	1.0	
CBG7	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	285	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds7_end	NP_001317366.1:cds7	NP_001317366.1:cds8	E7 → E8	285	285	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	39	39	inside_domain	True	1.0	
CBG7	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	285	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds7_end	NP_035332.1:cds7	NP_035332.1:cds8	E7 → E8	285	285	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	39	39	inside_domain	True	1.0	
CBG7	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	285	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds7_end	NP_001171064.1:cds7	NP_001171064.1:cds8	E7 → E8	285	285	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	39	39	inside_domain	True	1.0	
CBG8	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	311	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds8_end	NP_001317366.1:cds8	NP_001317366.1:cds9	E8 → E9	311	311	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	65	65	inside_domain	True	1.0	
CBG8	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	311	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds8_end	NP_035332.1:cds8	NP_035332.1:cds9	E8 → E9	311	311	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	65	65	inside_domain	True	1.0	
CBG8	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	311	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds8_end	NP_001171064.1:cds8	NP_001171064.1:cds9	E8 → E9	311	311	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	65	65	inside_domain	True	1.0	
CBG9	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	364	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds9_end	NP_001317366.1:cds9	NP_001317366.1:cds10	E9 → E10	364	364	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	118	118	inside_domain	True	1.0	
CBG9	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	364	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds9_end	NP_035332.1:cds9	NP_035332.1:cds10	E9 → E10	364	364	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	118	118	inside_domain	True	1.0	
CBG9	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	364	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds9_end	NP_001171064.1:cds9	NP_001171064.1:cds10	E9 → E10	364	364	mapped	IPR000242:246-527	IPR000242	PTP cat	start	246	118	118	inside_domain	True	1.0	
CBG10	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	408	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds10_end	NP_001317366.1:cds10	NP_001317366.1:cds11	E10 → E11	408	408	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-119	119	inside_domain	True	1.0	
CBG10	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	408	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds10_end	NP_035332.1:cds10	NP_035332.1:cds11	E10 → E11	408	408	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-119	119	inside_domain	True	1.0	
CBG10	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	408	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds10_end	NP_001171064.1:cds10	NP_001171064.1:cds11	E10 → E11	408	408	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-119	119	inside_domain	True	1.0	
CBG11	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	464	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds11_end	NP_001317366.1:cds11	NP_001317366.1:cds12	E11 → E12	464	464	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-63	63	inside_domain	True	1.0	
CBG11	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	464	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds11_end	NP_035332.1:cds11	NP_035332.1:cds12	E11 → E12	464	464	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-63	63	inside_domain	True	1.0	
CBG11	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	464	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds11_end	NP_001171064.1:cds11	NP_001171064.1:cds12	E11 → E12	464	464	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-63	63	inside_domain	True	1.0	
CBG12	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	487	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds12_end	NP_001317366.1:cds12	NP_001317366.1:cds13	E12 → E13	487	487	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-40	40	inside_domain	True	1.0	
CBG12	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	487	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds12_end	NP_035332.1:cds12	NP_035332.1:cds13	E12 → E13	487	487	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-40	40	inside_domain	True	1.0	
CBG12	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	487	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds12_end	NP_001171064.1:cds12	NP_001171064.1:cds13	E12 → E13	487	487	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	-40	40	inside_domain	True	1.0	
CBG13	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	537	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds13_end	NP_001317366.1:cds13	NP_001317366.1:cds14	E13 → E14	537	537	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	10	10	outside_annotated_domains	True	1.0	
CBG13	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	537	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds13_end	NP_035332.1:cds13	NP_035332.1:cds14	E13 → E14	537	537	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	10	10	outside_annotated_domains	True	1.0	
CBG13	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	537	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds13_end	NP_001171064.1:cds13	NP_001171064.1:cds14	E13 → E14	537	537	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	10	10	outside_annotated_domains	True	1.0	
CBG14	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	575	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds14_end	NP_001317366.1:cds14	NP_001317366.1:cds15	E14 → E15	575	575	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	48	48	outside_annotated_domains	True	1.0	
CBG14	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	575	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds14_end	NP_035332.1:cds14	NP_035332.1:cds15	E14 → E15	575	575	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	48	48	outside_annotated_domains	True	1.0	
CBG14	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	575	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds14_end	NP_001171064.1:cds14	NP_001171064.1:cds15	E14 → E15	575	575	mapped	IPR000242:246-527	IPR000242	PTP cat	end	527	48	48	outside_annotated_domains	True	1.0	
