species	assembly_accession	annotation_source	annotation_release_or_date	seqid	fgfr2_gene_id	fgfr2_transcript_id	fgfr2_protein_id	fgfr2_start	fgfr2_end	fgfr2_strand	neighbor_rank	neighbor_side	neighbor_gene_id	neighbor_symbol_raw	neighbor_start	neighbor_end	neighbor_strand	neighbor_biotype	neighbor_protein_id	neighbor_protein_sequence_available	distance_to_fgfr2	source_file	extraction_status	extraction_warning
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	4	upstream	GeneID:118663	BTBD16	122271296	122338159	+	protein_coding	NP_001305118.1	true	672838	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	5	upstream	GeneID:59338	PLEKHA1	122374708	122442600	+	protein_coding	XP_024303876.1	true	776250	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	6	upstream	GeneID:387715	ARMS2	122454653	122457352	+	protein_coding	NP_001093137.1	true	856195	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	7	upstream	GeneID:5654	HTRA1	122461553	122514907	+	protein_coding	NP_002766.1	true	863095	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	8	upstream	GeneID:1755	DMBT1	122560754	122643736	+	protein_coding	NP_001364459.1	true	962296	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	9	upstream	GeneID:112577516	SPADH	122672850	122679494	+	protein_coding	NP_001351390.1	true	1074392	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
homo_sapiens	GCF_000001405.40	NCBI RefSeq (datasets genomic.gff)	GRCh38.p14	NC_000010.11	GeneID:2263	ENST00000358487;ENST00001142305	XP_024303659.1	121478330	121598458	-	10	upstream	GeneID:399814	C10orf120	122697709	122699846	-	protein_coding	NP_001010912.1	true	1099251	external:NCBI/GCF_000001405.40/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	1	downstream	GeneID:450784	WDR11	132969677	133027666	+	protein_coding	XP_508077.4	true	562072	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	2	downstream	GeneID:741827	PLPP4	132573442	132706019	+	protein_coding	XP_001156337.1	true	883719	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	3	downstream	GeneID:450782	SEC23IP	131996835	132046388	+	protein_coding	XP_508076.4	true	1543350	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	4	downstream	GeneID:450781	MCMBP	131934073	131978166	-	protein_coding	XP_508075.4	true	1611572	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	5	downstream	GeneID:450780	INPP5F	131829932	131933431	+	protein_coding	XP_508074.2	true	1656307	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	6	downstream	GeneID:134806977	LOC134806977	131788492	131789296	-	protein_coding	XP_063637602.1	true	1800442	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	7	downstream	GeneID:450778	BAG3	131756511	131783247	+	protein_coding	XP_016774979.1	true	1806491	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	8	downstream	GeneID:741513	LOC741513	131743546	131744311	+	protein_coding	XP_054516508.2	true	1845427	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	9	downstream	GeneID:741374	TIAL1	131679204	131701036	-	protein_coding	XP_009457611.1	true	1888702	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	10	downstream	GeneID:741334	RGS10	131605373	131648584	-	protein_coding	XP_016774973.1	true	1941154	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	1	upstream	GeneID:450786	ATE1	133852070	134039605	-	protein_coding	XP_003312840.1	true	141227	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	2	upstream	GeneID:742274	NSMCE4A	134068242	134087969	-	protein_coding	XP_001157827.5	true	357399	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	3	upstream	GeneID:742328	TACC2	134105283	134363299	+	protein_coding	XP_063638259.1	true	394440	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	4	upstream	GeneID:742437	BTBD16	134379992	134446641	+	protein_coding	XP_009457460.4	true	669149	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	5	upstream	GeneID:450790	PLEKHA1	134483061	134534048	+	protein_coding	XP_016775027.1	true	772218	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	6	upstream	GeneID:450791	ARMS2	134556338	134559066	+	protein_coding	XP_016775033.1	true	845495	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	7	upstream	GeneID:450792	HTRA1	134563185	134616495	+	protein_coding	XP_016775034.1	true	852342	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	8	upstream	GeneID:466221	DMBT1	134662419	134733493	+	protein_coding	XP_024202423.3	true	951576	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	9	upstream	GeneID:129136225	SPADH	134762583	134768736	+	protein_coding	XP_054516579.1	true	1051740	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
pan_troglodytes	GCF_028858775.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPanTro3-v2.1_pri	NC_072406.2	GeneID:466220	XM_054660538.2;XM_054660539.2	XP_054516519.1	133589738	133710843	-	10	upstream	GeneID:742717	C10H10orf120	134786733	134788535	-	protein_coding	XP_001160071.1	true	1075890	external:NCBI/GCF_028858775.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	1	downstream	GeneID:101151121	LOC101151121	133685979	133686929	+	protein_coding	XP_055208036.2	true	90583	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	2	downstream	GeneID:101154496	WDR11	133153195	133211106	+	protein_coding	XP_018890786.1	true	566406	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	3	downstream	GeneID:134759250	LOC134759250	132896636	132897152	+	protein_coding	XP_063566612.1	true	880360	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	4	downstream	GeneID:101150028	PLPP4	132756492	132888252	+	protein_coding	XP_055209213.1	true	889260	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	5	downstream	GeneID:101146450	SEC23IP	132186254	132236304	+	protein_coding	XP_004050238.2	true	1541208	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	6	downstream	GeneID:101145863	MCMBP	132121588	132164733	-	protein_coding	XP_004050236.1	true	1612779	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	7	downstream	GeneID:101149322	INPP5F	132019223	132120952	+	protein_coding	XP_030870993.3	true	1656560	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	8	downstream	GeneID:101145129	BAG3	131946126	131972728	+	protein_coding	XP_018890203.1	true	1804784	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	9	downstream	GeneID:101143159	TIAL1	131869239	131890460	-	protein_coding	XP_004050232.1	true	1887052	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	10	downstream	GeneID:101142437	RGS10	131791594	131834913	-	protein_coding	XP_030871564.1	true	1942599	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	1	upstream	GeneID:101128164	ATE1	134037759	134218959	-	protein_coding	XP_030871285.1	true	138692	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	2	upstream	GeneID:101128882	NSMCE4A	134247550	134268651	-	protein_coding	XP_030871473.1	true	348483	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	3	upstream	GeneID:101125009	TACC2	134285555	134543495	+	protein_coding	XP_063566614.1	true	386488	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	4	upstream	GeneID:101125856	BTBD16	134560597	134627443	+	protein_coding	XP_055209943.2	true	661530	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	5	upstream	GeneID:101126217	PLEKHA1	134663187	134721077	+	protein_coding	XP_004050260.1	true	764120	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	6	upstream	GeneID:101126808	ARMS2	134743374	134746088	+	protein_coding	XP_004050261.2	true	844307	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	7	upstream	GeneID:101127178	HTRA1	134750196	134803888	+	protein_coding	XP_004050262.2	true	851129	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	8	upstream	GeneID:101129226	DMBT1	134849992	134924749	+	protein_coding	XP_063566625.1	true	950925	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	9	upstream	GeneID:115936048	SPADH	134954222	135007273	+	protein_coding	XP_030871425.1	true	1055155	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
gorilla_gorilla_gorilla	GCF_029281585.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mGorGor1-v2.1_pri	NC_073232.2	GeneID:101153046	ENSGGOT00000059958;XP_004050253.1	XP_004050253.1	133777512	133899067	-	10	upstream	GeneID:101127790	C8H10orf120	134977681	134979480	-	protein_coding	XP_004050263.2	true	1078614	external:NCBI/GCF_029281585.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	1	downstream	GeneID:100433048	WDR11	127922796	127981218	+	protein_coding	XP_024109469.2	true	570986	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	2	downstream	GeneID:100431802	PLPP4	127510195	127654892	+	protein_coding	XP_063583853.1	true	897312	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	3	downstream	GeneID:100461776	LOC100461776	127020033	127020605	-	protein_coding	XP_054379476.2	true	1531599	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	4	downstream	GeneID:100174536	SEC23IP	126938962	126988196	+	protein_coding	NP_001127463.1	true	1564008	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	5	downstream	GeneID:100460295	MCMBP	126881523	126938782	-	protein_coding	XP_054378935.1	true	1613422	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	6	downstream	GeneID:100171873	INPP5F	126741131	126879507	+	protein_coding	XP_054377392.1	true	1672697	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	7	downstream	GeneID:100459558	BAG3	126706027	126732906	+	protein_coding	XP_009244120.2	true	1819298	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
pongo_abelii	GCF_028885655.2	NCBI RefSeq (datasets genomic.gff)	NHGRI_mPonAbe1-v2.1_pri	NC_071993.2	GeneID:100171540	XM_024252936;XM_024252936.3	NP_001124693.2	128552204	128671688	-	8	downstream	GeneID:100458818	LOC100458818	126693125	126693714	+	protein_coding	XP_054377815.2	true	1858490	external:NCBI/GCF_028885655.2/genomic.gff	neighborhood_extracted	
