comparable_boundary_group_id	mapping_method	mapping_status	mapping_confidence	msa_column	n_species_mapped	species_ids	species_coverage	cross_species_difference	distance_range_min	distance_range_max	dominant_class	classes_differ	domain_annotation_available_in_all	primary_statistic
CBG74	msa_aligned_position	supported_comparable	0.1	598	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	13	1	14	near_domain_edge	true	true	distribution
CBG75	msa_aligned_position	supported_comparable	0.1	719	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	4	37	41	inside_domain	false	true	distribution
CBG76	msa_aligned_position	supported_comparable	0.1	760	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	4	78	82	inside_domain	false	true	distribution
CBG77	msa_aligned_position	supported_comparable	0.1	797	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	4	115	119	inside_domain	false	true	distribution
CBG78	msa_aligned_position	supported_comparable	0.1	860	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	0	-151	-151	inside_domain	false	true	distribution
CBG79	msa_aligned_position	supported_comparable	0.1	901	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	0	-110	-110	inside_domain	false	true	distribution
CBG80	msa_aligned_position	supported_comparable	0.1	925	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	0	-86	-86	inside_domain	false	true	distribution
CBG81	msa_aligned_position	supported_comparable	0.1	971	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	0	-40	-40	inside_domain	false	true	distribution
CBG82	msa_aligned_position	supported_comparable	0.1	1006	3	chrysemys_picta_bellii,danio_rerio,oryzias_latipes	0.1	0	-5	-5	near_domain_edge	false	true	distribution
CBG84	msa_aligned_position	tentative	0.067	301	2	xenopus_tropicalis,mus_musculus	0.067	8	19	27	inside_domain	false	true	raw_pair
CBG91	msa_aligned_position	tentative	0.1	849	3	xenopus_tropicalis,gorilla_gorilla_gorilla,meleagris_gallopavo	0.1	49	-162	-113	inside_domain	false	true	distribution
CBG97	msa_aligned_position	tentative	0.067	274	2	gasterosteus_aculeatus,xenopus_tropicalis	0.067	14	-6	8	outside_annotated_domains	false	true	raw_pair
CBG101	msa_aligned_position	tentative	0.067	472	2	gasterosteus_aculeatus,xenopus_tropicalis	0.067	1	-12	-11	inside_domain	false	true	raw_pair
CBG102	msa_aligned_position	tentative	0.067	537	2	gasterosteus_aculeatus,homo_sapiens	0.067	2	36	38	inside_domain	false	true	raw_pair
CBG105	msa_aligned_position	tentative	0.067	696	2	gasterosteus_aculeatus,meleagris_gallopavo	0.067	1	19	20	inside_domain	false	true	raw_pair
CBG107	msa_aligned_position	tentative	0.067	782	2	gasterosteus_aculeatus,xenopus_tropicalis	0.067	5	101	106	inside_domain	false	true	raw_pair
CBG109	msa_aligned_position	tentative	0.067	912	2	gasterosteus_aculeatus,homo_sapiens	0.067	8	-98	-90	inside_domain	false	true	raw_pair
CBG113	msa_aligned_position	tentative	0.067	346	2	takifugu_rubripes,mus_musculus	0.067	4	5	9	outside_annotated_domains	true	true	raw_pair
CBG123	msa_aligned_position	tentative	0.067	890	2	takifugu_rubripes,gorilla_gorilla_gorilla	0.067	1	-121	-120	inside_domain	false	true	raw_pair
