species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	final_isoform_label	cassette_length_aa	cassette_msa_start_col	cassette_msa_end_col
callithrix_jacchus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
callithrix_jacchus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
mus_musculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
mus_musculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
rattus_norvegicus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
rattus_norvegicus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
oryctolagus_cuniculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
oryctolagus_cuniculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
canis_lupus_familiaris	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
canis_lupus_familiaris	IIIc	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	64	2	66
felis_catus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
felis_catus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
equus_caballus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
equus_caballus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
sus_scrofa	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
sus_scrofa	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
bos_taurus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
bos_taurus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
ovis_aries	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
ovis_aries	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
monodelphis_domestica	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
monodelphis_domestica	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
ornithorhynchus_anatinus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
ornithorhynchus_anatinus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
gallus_gallus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
gallus_gallus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
meleagris_gallopavo	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
meleagris_gallopavo	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
taeniopygia_guttata	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
taeniopygia_guttata	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
alligator_mississippiensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
alligator_mississippiensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
chrysemys_picta_bellii	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	44	1	46
chrysemys_picta_bellii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
anolis_carolinensis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
anolis_carolinensis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
ambystoma_mexicanum	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
ambystoma_mexicanum	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
xenopus_tropicalis	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	43	2	46
xenopus_tropicalis	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
danio_rerio	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
danio_rerio	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
oryzias_latipes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
oryzias_latipes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
gasterosteus_aculeatus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
gasterosteus_aculeatus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
oreochromis_niloticus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	44	2	47
oreochromis_niloticus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
takifugu_rubripes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	45	2	48
takifugu_rubripes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	47	2	66
