species_id	protein_id	transcript_id	exon_number	exon_id	protein_start_aa	protein_end_aa	length_aa	cds_start	cds_end	phase	confidence	source
mus_musculus	NP_001103462.1	NM_001109992.1	1	NP_001103462.1:cds1	1	5	5	121329265	121329278	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	2	NP_001103462.1:cds2	5	46	42	121310044	121310166	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	3	NP_001103462.1:cds3	46	111	66	121305912	121306106	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	4	NP_001103462.1:cds4	111	175	65	121302558	121302750	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	5	NP_001103462.1:cds5	176	214	39	121301201	121301317	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	6	NP_001103462.1:cds6	215	252	38	121300772	121300885	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	7	NP_001103462.1:cds7	253	285	33	121292493	121292589	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	8	NP_001103462.1:cds8	285	311	27	121290538	121290617	2	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	9	NP_001103462.1:cds9	312	364	53	121290275	121290433	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	10	NP_001103462.1:cds10	365	408	44	121287166	121287297	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	11	NP_001103462.1:cds11	409	460	52	121282593	121282747	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	12	NP_001103462.1:cds12	460	483	24	121281625	121281692	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	13	NP_001103462.1:cds13	483	533	51	121281066	121281217	2	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	14	NP_001103462.1:cds14	534	571	38	121275480	121275592	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_001103462.1	NM_001109992.1	15	NP_001103462.1:cds15	571	593	23	121272820	121272889	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	1	NP_035332.1:cds1	1	5	5	121329265	121329278	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	2	NP_035332.1:cds2	5	46	42	121310044	121310166	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	3	NP_035332.1:cds3	46	111	66	121305912	121306106	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	4	NP_035332.1:cds4	111	175	65	121302558	121302750	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	5	NP_035332.1:cds5	176	214	39	121301201	121301317	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	6	NP_035332.1:cds6	215	252	38	121300772	121300885	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	7	NP_035332.1:cds7	253	285	33	121292493	121292589	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	8	NP_035332.1:cds8	285	311	27	121290538	121290617	2	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	9	NP_035332.1:cds9	312	364	53	121290275	121290433	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	10	NP_035332.1:cds10	365	408	44	121287166	121287297	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	11	NP_035332.1:cds11	409	464	56	121282593	121282759	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	12	NP_035332.1:cds12	464	487	24	121281625	121281692	1	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	13	NP_035332.1:cds13	487	537	51	121281066	121281217	2	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	14	NP_035332.1:cds14	538	575	38	121275480	121275592	0	gff_cds_derived	ncbi_gff
mus_musculus	NP_035332.1	NM_011202.3	15	NP_035332.1:cds15	575	597	23	121272820	121272889	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	1	NP_001171064.1:cds1	1	5	5	41026255	41026268	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	2	NP_001171064.1:cds2	5	46	42	41044762	41044884	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	3	NP_001171064.1:cds3	46	111	66	41048060	41048254	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	4	NP_001171064.1:cds4	111	175	65	41050918	41051110	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	5	NP_001171064.1:cds5	176	214	39	41052488	41052604	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	6	NP_001171064.1:cds6	215	252	38	41053022	41053135	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	7	NP_001171064.1:cds7	253	285	33	41059954	41060050	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	8	NP_001171064.1:cds8	285	311	27	41062730	41062809	2	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	9	NP_001171064.1:cds9	312	364	53	41062901	41063059	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	10	NP_001171064.1:cds10	365	408	44	41066304	41066435	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	11	NP_001171064.1:cds11	409	464	56	41070303	41070469	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	12	NP_001171064.1:cds12	464	487	24	41071323	41071390	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	13	NP_001171064.1:cds13	487	537	51	41071822	41071973	2	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	14	NP_001171064.1:cds14	538	575	38	41078856	41078968	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_001171064.1	NM_001177593.1	15	NP_001171064.1:cds15	575	597	23	41081353	41081422	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	1	NP_037220.2:cds1	1	5	5	41026255	41026268	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	2	NP_037220.2:cds2	5	46	42	41044762	41044884	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	3	NP_037220.2:cds3	46	111	66	41048060	41048254	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	4	NP_037220.2:cds4	111	175	65	41050918	41051110	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	5	NP_037220.2:cds5	176	214	39	41052488	41052604	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	6	NP_037220.2:cds6	215	252	38	41053022	41053135	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	7	NP_037220.2:cds7	253	285	33	41059954	41060050	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	8	NP_037220.2:cds8	285	311	27	41062730	41062809	2	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	9	NP_037220.2:cds9	312	364	53	41062901	41063059	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	10	NP_037220.2:cds10	365	408	44	41066304	41066435	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	11	NP_037220.2:cds11	409	460	52	41070315	41070469	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	12	NP_037220.2:cds12	460	483	24	41071323	41071390	1	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	13	NP_037220.2:cds13	483	533	51	41071822	41071973	2	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	14	NP_037220.2:cds14	534	571	38	41078856	41078968	0	gff_cds_derived	ncbi_gff
rattus_norvegicus	NP_037220.2	NM_013088.2	15	NP_037220.2:cds15	571	593	23	41081353	41081422	1	gff_cds_derived	ncbi_gff
